File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0609_09_mesh_29.ply,9.285,96.122,12.297,6.25,0.888,
0609_09_mesh_14.ply,3.94,103.486,13.319,8.03,0.904,
0609_09_mesh_6.ply,10.422,80.897,8.702,6.263,0.992,
0609_09_mesh_3.ply,8.495,84.059,11.499,5.969,1.09,
0609_09_mesh_16.ply,18.934,111.128,14.643,7.803,1.1,
0609_09_mesh_24.ply,0.405,95.343,9.025,7.722,1.287,
0609_14_mesh_14.ply,1.586,113.351,11.573,6.714,1.453,
0609_09_mesh_12.ply,3.719,65.223,6.946,6.601,1.515,
0609_14_mesh_31.ply,27.445,104.869,15.727,7.003,1.636,
0609_14_mesh_4.ply,0.285,82.425,9.442,6.024,1.641,
0609_09_mesh_1.ply,15.556,135.339,14.506,7.883,1.673,
0609_09_mesh_7.ply,26.029,104.31,11.047,6.351,1.748,
0609_14_mesh_22.ply,3.957,101,11.188,5.958,1.943,
0609_09_mesh_30.ply,16.965,102.152,9.568,8.042,2.101,
0609_09_mesh_15.ply,22.312,106.165,9.115,7.815,2.107,
0609_09_mesh_9.ply,22.977,69.95,9.616,4.948,2.128,
0609_14_mesh_21.ply,32.527,193.986,23.887,8.879,2.143,
0609_09_mesh_10.ply,43.834,206.562,18.652,6.926,2.311,
0609_14_mesh_13.ply,30.096,63.623,8.484,2.965,2.51,
0609_14_mesh_28.ply,24.352,55.297,6.613,4.626,2.573,
0609_09_mesh_19.ply,23.951,170.449,13.422,7.741,2.642,
0609_08_mesh_7.ply,13.205,148.947,12.631,7.096,2.658,
0609_09_mesh_5.ply,31.824,116.081,14.223,5.092,2.681,
0609_09_mesh_18.ply,58.105,115.633,9.943,5.199,2.716,
0609_14_mesh_30.ply,51.29,120.591,9.944,6.691,2.724,
0609_13_mesh_10.ply,85.386,179.042,23.341,3.323,2.926,
0609_14_mesh_18.ply,34.563,80.104,7.895,5.467,2.944,
0609_14_mesh_25.ply,46.163,126.298,17.23,3.84,3.008,
0609_14_mesh_15.ply,26.281,62.051,5.704,4.538,3.025,
0609_14_mesh_1.ply,24.782,67.125,7.841,5.555,3.057,
0609_09_mesh_21.ply,46.92,86.094,8.846,5.393,3.065,
0609_09_mesh_20.ply,6.456,39.334,9.09,2.528,3.078,
0609_14_mesh_8.ply,41.46,91.067,10.151,4.203,3.16,
0609_08_mesh_1.ply,11.434,139.434,8.893,10.347,3.24,
0609_14_mesh_24.ply,136.323,260.392,33.624,5.492,3.272,
0609_09_mesh_28.ply,48.402,102.296,7.156,6.733,3.326,
0609_08_mesh_16.ply,75.793,415.088,26.626,9.385,3.382,
0609_09_mesh_22.ply,78.345,114.269,9.969,5.672,3.395,
0609_13_mesh_13.ply,94.227,153.335,17.897,4.372,3.424,
0609_14_mesh_5.ply,36.114,99.052,14.505,5.076,3.483,
0609_14_mesh_20.ply,87.328,140.325,15.306,3.327,3.536,
0609_09_mesh_23.ply,70.364,134.183,7.99,8.027,3.539,
0609_14_mesh_6.ply,32.808,78.091,9.581,3.827,3.541,
0609_09_mesh_13.ply,22.426,117.773,10.217,7.142,3.582,
0609_09_mesh_25.ply,26.087,60.759,7.049,4.571,3.602,
0609_09_mesh_27.ply,55.283,113.031,8.266,6.457,3.614,
0609_13_mesh_1.ply,114.027,183.12,19.673,4.184,3.621,
0609_14_mesh_11.ply,65.037,115.118,11.978,4.44,3.67,
0609_09_mesh_8.ply,3.927,127.087,9.744,9.019,3.671,
0609_14_mesh_12.ply,117.894,183.415,19.569,3.987,3.728,
0609_08_mesh_15.ply,94.456,153.669,14.833,5.904,3.729,
0609_09_mesh_26.ply,70.899,187.958,13.562,6.658,3.758,
0609_08_mesh_17.ply,94.202,160.075,16.33,5.33,3.834,
0609_14_mesh_27.ply,81.481,114.48,8.447,5.026,4.074,
0609_08_mesh_4.ply,1.338,207.598,12.149,10.324,4.171,
0609_09_mesh_2.ply,90.96,178.902,14.184,6.849,4.177,
0609_08_mesh_20.ply,113.815,151.292,11.298,5.636,4.205,
0609_08_mesh_19.ply,49.46,173.952,11.855,8.245,4.219,
0609_14_mesh_16.ply,117.432,150.106,11.172,5.052,4.268,
0609_14_mesh_17.ply,70.64,142.502,10.329,6.567,4.27,
0609_14_mesh_7.ply,76.438,112.261,8.634,4.291,4.488,
0609_14_mesh_26.ply,110.272,130.338,8.506,5.896,4.62,
0609_09_mesh_31.ply,10.594,48.639,7.395,3.251,4.622,
0609_14_mesh_29.ply,107.529,165.588,12.78,5.023,4.642,
0609_09_mesh_4.ply,99.244,128.618,8.015,6.717,4.662,
0609_08_mesh_23.ply,77.795,136.533,10.647,5.755,4.678,
