File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0609_06_mesh_1.ply,1365.683,918.002,32.806,16.843,9.446,
0609_06_mesh_2.ply,2527.937,1485.302,56.714,11.978,9.001,
0609_06_mesh_3.ply,13241.382,4976.245,107.232,32.660,35.990,
0609_06_mesh_4.ply,2445.295,1363.038,44.591,11.809,10.757,
0609_06_mesh_5.ply,3797.317,1963.374,47.947,17.889,13.044,
0609_07_mesh_1.ply,1858.831,1007.727,20.148,18.541,13.120,
0609_07_mesh_10.ply,1384.860,1049.247,30.502,13.916,9.710,
0609_07_mesh_11.ply,354.794,423.644,17.182,10.634,6.483,
0609_07_mesh_2.ply,250.141,343.150,24.006,6.014,5.077,
0609_07_mesh_3.ply,6972.592,3177.516,54.487,24.837,17.530,
0609_07_mesh_4.ply,873.334,1167.126,44.553,13.174,6.166,
0609_07_mesh_5.ply,890.153,571.759,20.298,8.714,8.744,
0609_07_mesh_6.ply,379.824,351.692,18.893,8.150,6.138,
0609_07_mesh_7.ply,6016.296,2624.908,64.466,27.168,15.454,
0609_07_mesh_8.ply,692.499,593.739,26.018,8.570,7.668,
0609_07_mesh_9.ply,3043.965,1746.413,63.443,17.205,9.512,
0609_08_mesh_1.ply,11.434,139.434,8.893,10.347,3.240,
0609_08_mesh_10.ply,15.829,184.895,14.619,9.489,4.870,
0609_08_mesh_11.ply,41.275,217.841,14.545,9.829,4.793,
0609_08_mesh_12.ply,303.421,297.649,17.746,8.899,6.130,
0609_08_mesh_13.ply,253.846,261.472,16.464,6.296,5.645,
0609_08_mesh_14.ply,739.307,592.277,23.705,16.358,6.822,
0609_08_mesh_15.ply,94.456,153.669,14.833,5.904,3.729,
0609_08_mesh_16.ply,75.793,415.088,26.626,9.385,3.382,
0609_08_mesh_17.ply,94.202,160.075,16.330,5.330,3.834,
0609_08_mesh_18.ply,351.497,305.007,15.107,7.976,6.013,
0609_08_mesh_19.ply,49.460,173.952,11.855,8.245,4.219,
0609_08_mesh_2.ply,371.877,342.086,15.912,10.250,6.491,
0609_08_mesh_20.ply,113.815,151.292,11.298,5.636,4.205,
0609_08_mesh_21.ply,34.075,248.852,12.917,11.431,5.059,
0609_08_mesh_22.ply,188.027,246.508,18.910,5.847,5.740,
0609_08_mesh_23.ply,77.795,136.533,10.647,5.755,4.678,
0609_08_mesh_3.ply,1207.795,890.398,44.888,10.360,7.968,
0609_08_mesh_4.ply,1.338,207.598,12.149,10.324,4.171,
0609_08_mesh_5.ply,336.949,294.998,14.977,7.663,5.915,
0609_08_mesh_6.ply,178.967,206.876,13.030,6.447,5.325,
0609_08_mesh_7.ply,13.205,148.947,12.631,7.096,2.658,
0609_08_mesh_8.ply,314.694,367.608,28.457,5.345,4.808,
0609_08_mesh_9.ply,308.307,305.955,17.503,7.666,5.889,
0609_09_mesh_1.ply,15.556,135.339,14.506,7.883,1.673,
0609_09_mesh_10.ply,43.834,206.562,18.652,6.926,2.311,
0609_09_mesh_11.ply,105.054,174.991,9.601,7.845,4.728,
0609_09_mesh_12.ply,3.719,65.223,6.946,6.601,1.515,
0609_09_mesh_13.ply,22.426,117.773,10.217,7.142,3.582,
0609_09_mesh_14.ply,3.940,103.486,13.319,8.030,0.904,
0609_09_mesh_15.ply,22.312,106.165,9.115,7.815,2.107,
0609_09_mesh_16.ply,18.934,111.128,14.643,7.803,1.100,
0609_09_mesh_17.ply,177.007,237.001,13.558,7.456,4.735,
0609_09_mesh_18.ply,58.105,115.633,9.943,5.199,2.716,
0609_09_mesh_19.ply,23.951,170.449,13.422,7.741,2.642,
0609_09_mesh_2.ply,90.960,178.902,14.184,6.849,4.177,
0609_09_mesh_20.ply,6.456,39.334,9.090,2.528,3.078,
0609_09_mesh_21.ply,46.920,86.094,8.846,5.393,3.065,
0609_09_mesh_22.ply,78.345,114.269,9.969,5.672,3.395,
0609_09_mesh_23.ply,70.364,134.183,7.990,8.027,3.539,
0609_09_mesh_24.ply,-0.405,95.343,9.025,7.722,1.287,
0609_09_mesh_25.ply,26.087,60.759,7.049,4.571,3.602,
0609_09_mesh_26.ply,70.899,187.958,13.562,6.658,3.758,
0609_09_mesh_27.ply,55.283,113.031,8.266,6.457,3.614,
0609_09_mesh_28.ply,48.402,102.296,7.156,6.733,3.326,
0609_09_mesh_29.ply,9.285,96.122,12.297,6.250,0.888,
0609_09_mesh_3.ply,8.495,84.059,11.499,5.969,1.090,
0609_09_mesh_30.ply,16.965,102.152,9.568,8.042,2.101,
0609_09_mesh_31.ply,10.594,48.639,7.395,3.251,4.622,
0609_09_mesh_4.ply,99.244,128.618,8.015,6.717,4.662,
0609_09_mesh_5.ply,31.824,116.081,14.223,5.092,2.681,
0609_09_mesh_6.ply,10.422,80.897,8.702,6.263,0.992,
0609_09_mesh_7.ply,26.029,104.310,11.047,6.351,1.748,
0609_09_mesh_8.ply,3.927,127.087,9.744,9.019,3.671,
0609_09_mesh_9.ply,22.977,69.950,9.616,4.948,2.128,
