File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0609_10_mesh_1.ply,3072.234,1850.017,70.515,19.272,13.143,
0609_10_mesh_2.ply,1001.91,877.153,47.711,13.534,7.043,
0609_10_mesh_3.ply,2476.029,1721.921,76.808,20.711,8.863,
0609_10_mesh_4.ply,2397.153,1698.088,81.702,11.729,9.964,
0609_10_mesh_5.ply,3098.726,2009.486,83.576,20.541,10.313,
0609_10_mesh_6.ply,3025.317,1992.502,83.122,11.748,11.529,
0609_10_mesh_7.ply,1382.712,1132.493,49.004,23.426,10.293,
0609_10_mesh_8.ply,524.778,555.42,39.811,6.824,6.17,
0609_11_mesh_1.ply,719.576,1261.557,123.726,24.141,11.038,
0609_11_mesh_10.ply,870.803,885.238,51.993,10.727,11.825,
0609_11_mesh_11.ply,294.102,306.677,16.288,7.743,7.086,
0609_11_mesh_2.ply,1675.81,1315.908,66.562,17.261,7.656,
0609_11_mesh_3.ply,790.152,750.719,46.366,10.215,8.048,
0609_11_mesh_4.ply,1589.535,1093.483,43.081,18.212,11.559,
0609_11_mesh_5.ply,614.343,472.114,20.713,8.352,7.991,
0609_11_mesh_6.ply,2977.941,1651.258,56.595,24.183,16.1,
0609_11_mesh_7.ply,1081.333,1340.229,92.981,16.095,7.803,
0609_11_mesh_8.ply,344.301,364.036,22.58,8.078,5.599,
0609_11_mesh_9.ply,560.582,523.545,27.94,6.929,7.406,
0609_12_mesh_1.ply,1037.507,1035.404,66.659,17.477,8.084,
0609_12_mesh_10.ply,597.066,475.555,22.65,7.811,6.287,
0609_12_mesh_11.ply,390.949,642.605,48.425,11.988,5.559,
0609_12_mesh_12.ply,988.488,735.697,35.085,9.381,7.688,
0609_12_mesh_13.ply,394.444,402.832,26.195,5.874,5.999,
0609_12_mesh_14.ply,579.616,601.631,32.398,9.17,6.907,
0609_12_mesh_2.ply,985.55,727.534,31.261,8.873,8.57,
0609_12_mesh_3.ply,215.723,271.362,21.905,4.634,5.324,
0609_12_mesh_4.ply,476.024,531.523,39.966,5.806,5.3,
0609_12_mesh_5.ply,372.796,430.679,29.869,5.997,6.074,
