File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0524_22_mesh_1.ply,86.531,113.638,7.188,4.734,4.555,0.018
0524_22_mesh_10.ply,89.241,111.967,7.922,4.893,4.167,0.026
0524_22_mesh_11.ply,42.098,79.554,6.478,5.181,4.299,0.016
0524_22_mesh_12.ply,77.54,117.247,8.447,5.292,4.295,0.014
0524_22_mesh_13.ply,76.048,124.647,8.194,6.291,4.397,0.02
0524_22_mesh_14.ply,65.261,103.693,8.199,5.082,3.469,0.016
0524_22_mesh_15.ply,9.462,95.054,13.743,6.198,1.631,0.006
0524_22_mesh_16.ply,87.624,132.185,10.051,5.154,3.756,0.026
0524_22_mesh_17.ply,60.598,113.014,7.007,6.211,3.954,0.014
0524_22_mesh_18.ply,46.739,78.883,6.846,4.898,3.527,0.015
0524_22_mesh_19.ply,179.527,203.549,13.415,5.822,5.113,0.051
0524_22_mesh_2.ply,51.631,133.926,11.727,8.361,2.76,0.015
0524_22_mesh_20.ply,239.169,254.991,16.541,8.767,5.25,0.064
0524_22_mesh_21.ply,31.663,105.88,7.972,7.746,3.655,0.012
0524_22_mesh_22.ply,158.43,186.672,12.583,6.215,5.168,0.044
0524_22_mesh_23.ply,38.082,107.272,8.948,10.091,2.687,0.009
0524_22_mesh_24.ply,92.704,139.375,10.696,6.322,3.041,0.019
0524_22_mesh_3.ply,1296.245,844.627,11.783,13.255,14.338,
0524_22_mesh_4.ply,143.537,351.014,56.735,13.448,3.706,0.025
0524_22_mesh_5.ply,579.051,1069.697,140.321,22.094,11.246,0.154
0524_22_mesh_6.ply,40.028,154.486,18.024,12.461,2.379,0.008
0524_22_mesh_7.ply,90.339,192.485,15.143,6.461,3.51,0.026
0524_22_mesh_8.ply,66.788,116.081,13.528,8.345,3.594,0.014
0524_22_mesh_9.ply,93.186,143.916,10.784,4.991,4.486,0.018
