File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0526_05_mesh_1.ply,28.866,111.183,9.008,6.458,3.043,0.009
0526_05_mesh_10.ply,1236.646,985.917,15.335,16.213,14.196,
0526_05_mesh_11.ply,410.021,591.087,40.856,9.057,6.406,0.123
0526_05_mesh_12.ply,69.207,112.314,7.988,6.116,4.440,0.028
0526_05_mesh_14.ply,61.291,103.468,9.129,4.726,3.854,0.015
0526_05_mesh_15.ply,85.858,164.790,17.637,5.147,3.918,0.032
0526_05_mesh_16.ply,978.840,718.132,29.653,12.286,11.309,0.363
0526_05_mesh_17.ply,459.197,587.781,27.568,7.119,5.921,0.121
0526_05_mesh_18.ply,394.966,649.966,51.610,10.371,11.568,0.128
0526_05_mesh_2.ply,41.176,150.055,17.401,8.183,2.858,0.008
0526_05_mesh_13.ply,368.530,437.729,23.649,8.701,6.571,0.090
0526_05_mesh_3.ply,52.368,223.366,27.108,4.755,3.056,0.014
0526_05_mesh_4.ply,65.945,203.299,18.617,6.961,3.234,0.011
0526_05_mesh_5.ply,217.147,309.485,17.742,10.948,6.938,0.063
0526_05_mesh_6.ply,86.709,219.885,14.239,7.561,3.762,0.032
0526_05_mesh_7.ply,49.025,140.163,21.499,5.996,3.278,0.006
0526_05_mesh_8.ply,145.024,184.683,13.049,6.163,4.727,0.038
0526_05_mesh_9.ply,96.555,207.115,17.146,5.719,3.756,0.025
