File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0713_03_mesh_1.ply,189.998,795.535,45.326,14.398,9.555,0.061
0713_03_mesh_10.ply,528.097,1636.074,69.655,17.97,11.03,0.087
0713_03_mesh_2.ply,188.145,840.094,39.43,14.08,14.361,0.044
0713_03_mesh_3.ply,1250.755,1565.213,62.6,18.688,12.297,0.076
0713_03_mesh_4.ply,151.48,562.905,33.201,11.942,6.711,0.038
0713_03_mesh_5.ply,906.608,1101.928,51.111,15.035,6.288,0.051
0713_03_mesh_6.ply,415.756,954.582,56.064,21.814,7.184,0.052
0713_03_mesh_7.ply,614.826,1155.384,67.784,11.917,9.917,0.06
0713_03_mesh_8.ply,1063.051,1824.057,70.054,13.531,10.115,0.242
0713_03_mesh_9.ply,648.813,1141.399,34.28,14.887,14.643,0.053
