File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0526_13_mesh_1.ply,206.767,268.478,23.482,7.642,5.454,0.08
0526_13_mesh_10.ply,545.004,453.404,26.081,6.29,6.968,0.161
0526_13_mesh_11.ply,792.376,793.007,44.104,20.369,6.317,0.194
0526_13_mesh_12.ply,389.097,474.526,32.907,10.807,6.913,0.123
0526_13_mesh_13.ply,1235.91,872.577,15.903,17.756,14.586,
0526_13_mesh_14.ply,175.23,212.327,14.035,8.04,5.622,0.069
0526_13_mesh_2.ply,201.24,280.477,24.56,5.577,5.055,0.054
0526_13_mesh_3.ply,1179.609,759.299,35.75,9.851,8.574,0.354
0526_13_mesh_4.ply,130.017,167.867,12.207,5.934,5.004,0.041
0526_13_mesh_5.ply,561.42,466.482,23.243,8.073,6.427,0.133
0526_13_mesh_6.ply,759.177,593.877,28.84,9.927,7.044,0.215
0526_13_mesh_7.ply,1602.674,1351.745,75.97,18.291,8.242,0.45
0526_13_mesh_8.ply,2126.24,1359.236,57.203,10.12,9.091,0.57
0526_13_mesh_9.ply,325.057,671.608,79.63,21.348,10.359,0.089
