File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0406_04_mesh_1.ply,97.742,209.288,26.407,5.57,3.287,0.03
0406_04_mesh_10.ply,1382.407,1745.679,143.45,18.457,7.34,1.091
0406_04_mesh_11.ply,167.455,315.105,29.773,5.597,4.962,0.032
0406_04_mesh_12.ply,347.477,529.851,48.167,17.2,9.589,0.104
0406_04_mesh_13.ply,226.224,318.309,31.545,6.926,4.745,0.057
0406_04_mesh_14.ply,163.001,250.326,25.746,7.76,5.317,0.04
0406_04_mesh_15.ply,171.379,354.583,46.024,13.618,5.298,0.04
0406_04_mesh_16.ply,207.363,388.492,42.626,8.955,5.868,0.047
0406_04_mesh_2.ply,151.473,200.705,16.085,7.158,4.486,0.051
0406_04_mesh_3.ply,242.139,253.251,15.176,7.187,8.985,0.237
0406_04_mesh_4.ply,4645.915,2803.647,110.463,14.166,15.342,1.22
0406_04_mesh_5.ply,280.301,418.157,40.21,6.908,5.518,0.056
0406_04_mesh_6.ply,1323.456,762.519,15.177,14.116,13.563,
0406_04_mesh_7.ply,388.443,589.618,48.723,9.391,11.33,0.106
0406_04_mesh_8.ply,82.92,169.09,20.188,7.412,3.629,0.029
0406_04_mesh_9.ply,124.18,200.599,21.29,6.668,4.217,0.036
