File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0406_11_mesh_1.ply,1207.362,742.05,15.191,12.966,14.029,
0406_11_mesh_10.ply,1209.991,925.118,36.164,14.884,11.382,0.398
0406_11_mesh_11.ply,487.916,468.262,26.051,9.655,7.367,0.155
0406_11_mesh_12.ply,677.857,528.48,26.919,7.479,8.16,0.199
0406_11_mesh_13.ply,284.381,355.948,30.796,6.584,4.652,0.097
0406_11_mesh_14.ply,506.592,532.505,30.216,8.41,6.198,0.138
0406_11_mesh_15.ply,319.981,369.002,20.004,6.821,6.096,0.155
0406_11_mesh_2.ply,1772.061,1261.178,39.483,19.988,14.3,0.679
0406_11_mesh_3.ply,2254.871,1329.163,50.352,13.71,9.93,0.763
0406_11_mesh_4.ply,223.769,344.705,28.572,11.248,5.833,0.09
0406_11_mesh_5.ply,282.508,341.914,26.816,7.094,5.388,0.135
0406_11_mesh_6.ply,216.44,414.781,53.584,13.501,4.495,0.056
0406_11_mesh_7.ply,1207.752,1085.519,62.443,20.675,12.112,0.423
0406_11_mesh_8.ply,682.022,877.054,45.434,31.464,8.555,0.191
0406_11_mesh_9.ply,690.882,696.758,30.963,19.27,14.711,0.257
