File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0522_09_mesh_1.ply,248.84,343.691,28.014,8.37,4.577,0.046
0522_09_mesh_10.ply,83.1,223.463,29.35,6.522,3.226,0.009
0522_09_mesh_11.ply,11.974,153.35,15.119,6.199,2.403,0.007
0522_09_mesh_12.ply,103.772,148.799,8.855,6.809,5.875,0.024
0522_09_mesh_13.ply,34.974,195.702,13.335,6.801,5.513,0.039
0522_09_mesh_14.ply,126.655,175.519,13.242,5.862,4.154,0.023
0522_09_mesh_15.ply,46.76,104.164,8.756,6.124,4.015,0.012
0522_09_mesh_16.ply,199.858,226.092,12.037,8.541,5.447,0.045
0522_09_mesh_17.ply,83.819,128.012,8.037,6.127,4.616,0.014
0522_09_mesh_18.ply,121.625,186.261,8.609,8.521,6.336,0.031
0522_09_mesh_19.ply,40.291,97.024,11.551,5.674,3.685,0.009
0522_09_mesh_2.ply,192.239,263.239,18.492,6.332,4.414,0.029
0522_09_mesh_20.ply,214.937,274.542,16.768,8.241,5.01,0.041
0522_09_mesh_21.ply,412.483,454.375,25.095,11.849,6.737,0.108
0522_09_mesh_22.ply,1276.402,919.269,14.664,14.107,14.65,
0522_09_mesh_23.ply,148.117,273.363,19.055,7.872,4.535,0.032
0522_09_mesh_24.ply,105.283,160.643,13.757,5.29,5.125,0.021
0522_09_mesh_25.ply,57.485,215.714,37.005,12.66,3.798,0.011
0522_09_mesh_26.ply,67.123,113.791,13.026,5.158,4.472,0.022
0522_09_mesh_27.ply,33.346,100.797,7.526,6.854,5.695,0.034
0522_09_mesh_28.ply,85.69,139.568,10.378,6.155,4.671,0.025
0522_09_mesh_3.ply,737.876,788.239,52.9,13.947,11.135,0.159
0522_09_mesh_4.ply,103.357,208.185,19.134,5.693,4.786,0.024
0522_09_mesh_5.ply,307.643,378.125,23.325,9.734,5.524,0.069
0522_09_mesh_6.ply,123.198,182.334,11.913,8.419,4.894,0.028
0522_09_mesh_7.ply,101.592,167.533,14.978,5.55,4.547,0.042
0522_09_mesh_8.ply,136.184,166.891,11.847,6.165,4.813,0.026
0522_09_mesh_9.ply,405.738,384.5,21.751,10.148,6.599,0.106
