File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0506_08_mesh_1.ply,559.307,246.929,28.979,5.78,5.5,0.074
0506_08_mesh_10.ply,133.409,108.4,11.739,5.981,3.777,0.025
0506_08_mesh_11.ply,731.305,578.069,29.662,14.463,9.27,0.343
0506_08_mesh_12.ply,164.293,105.318,16.497,6.536,3.931,0.033
0506_08_mesh_13.ply,63.647,138.499,12.818,6.715,3.933,0.032
0506_08_mesh_14.ply,689.993,414.242,28.948,11.263,6.143,0.173
0506_08_mesh_15.ply,365.915,272.661,17.594,7.184,6.485,0.107
0506_08_mesh_16.ply,585.032,221.852,17.33,7.177,6.484,0.085
0506_08_mesh_17.ply,36.993,127.088,11.585,6.347,5.72,0.046
0506_08_mesh_18.ply,255.543,141.536,9.614,7.79,5.746,0.053
0506_08_mesh_19.ply,341.38,197.951,14.433,9.008,7.786,0.145
0506_08_mesh_2.ply,26.637,267.316,42.807,7.367,5.672,0.047
0506_08_mesh_20.ply,77.064,108.055,11.985,6.568,4.853,0.025
0506_08_mesh_21.ply,765.29,265.881,20.968,7.962,7.692,0.106
0506_08_mesh_22.ply,1343.64,340.809,23.964,12.323,7.562,0.163
0506_08_mesh_23.ply,348.68,278.132,20.961,9.086,7.606,0.133
0506_08_mesh_3.ply,423.781,214.352,37.065,15.942,6.337,0.048
0506_08_mesh_4.ply,476.145,95.352,9.956,10.574,4.736,0.017
0506_08_mesh_5.ply,386.403,511.938,60.039,6.241,5.03,0.13
0506_08_mesh_6.ply,1996.625,1029.2,97.935,54.787,33.13,0.253
0506_08_mesh_7.ply,862.03,110.717,13.776,10.541,5.218,0.015
0506_08_mesh_8.ply,124.488,73.842,10.743,7.772,2.767,0.01
0506_08_mesh_9.ply,1287.013,602.954,15.081,14.115,13.724,
