File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
Curve 1_mesh.ply,7053.272,11552.514,98.890,76.916,98.759,
Curve 2_mesh.ply,9543.572,14406.642,108.086,65.523,91.582,
Curve 3_mesh.ply,9641.037,18212.136,120.901,66.193,90.959,
Curve 4_mesh.ply,6111.690,16514.090,120.649,79.433,103.308,
Curve 5_mesh.ply,3515.075,11799.508,105.425,85.919,118.551,
Curve 6_mesh.ply,5733.123,15034.901,84.176,79.029,118.177,
Flat 1_mesh.ply,5027.755,14622.784,104.160,67.269,86.410,
Flat 2_mesh.ply,2012.870,19842.563,144.812,79.559,116.157,
Flat 5_mesh.ply,8393.289,12660.785,110.391,66.625,92.525,
Flat 6_mesh.ply,4163.960,12572.494,87.742,74.170,114.475,
