File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
T16S12_mesh.ply,12875.998,11059.618,98.827,53.796,68.826,
T16S15_mesh.ply,28228.556,11492.536,89.508,47.179,54.447,
T16S18_mesh.ply,23400.513,10642.726,60.597,45.496,51.432,
T16S21_mesh.ply,10686.290,7744.021,62.244,36.268,73.460,
T16S24_mesh.ply,7628.157,7166.731,55.022,36.590,47.217,
T16S27_mesh.ply,5166.943,7773.588,66.075,55.354,53.749,
T16S30_mesh.ply,20368.356,7740.337,63.172,41.299,45.980,
T16S3_mesh.ply,14905.328,7579.462,54.369,44.868,53.331,
T16S6_mesh.ply,38453.662,10834.923,53.607,48.876,59.245,
T16S9_mesh.ply,20589.889,11408.649,58.872,51.913,58.001,
T17S12_mesh.ply,4347.489,4057.460,56.295,39.972,45.445,
T17S15_mesh.ply,5745.957,4926.449,70.989,38.869,48.215,
T17S18_mesh.ply,13704.144,9155.971,60.173,45.614,50.727,
T17S21_mesh.ply,10831.430,8841.040,61.474,39.101,48.349,
T17S3_mesh.ply,26884.648,9980.557,63.917,39.004,53.145,
T17S6_mesh.ply,18615.176,8846.237,57.770,49.824,57.600,
T17S9_mesh.ply,13759.232,10618.859,69.926,45.366,70.705,
T5S12_mesh.ply,28467.663,15405.550,80.471,52.410,79.271,
T5S15_mesh.ply,24512.942,10701.415,69.890,63.945,80.775,
T5S18_mesh.ply,13999.976,7612.346,72.637,43.055,51.272,
T5S21_mesh.ply,16668.073,11320.739,68.434,44.284,58.793,
T5S24_mesh.ply,12052.906,8289.517,64.222,45.454,57.075,
T5S27_mesh.ply,9761.585,9726.196,72.685,49.510,72.250,
T5S30_mesh.ply,18427.883,9719.953,63.265,51.193,68.623,
T5S33_mesh.ply,12618.278,8698.877,67.790,41.386,52.823,
T5S36_mesh.ply,29033.728,11385.702,58.994,59.843,51.095,
T5S3_mesh.ply,35526.703,20535.294,99.979,59.855,85.697,
T5S6_mesh.ply,19198.475,19249.941,74.695,64.857,87.546,
T5S9_mesh.ply,22944.891,10569.676,75.792,52.068,61.803,
T8S12_mesh.ply,22539.868,6533.191,64.503,34.935,42.545,
T8S15_mesh.ply,24706.092,7187.491,52.041,43.831,59.877,
T8S18_mesh.ply,22414.138,7197.380,48.545,39.070,52.277,
T8S21_mesh.ply,20591.180,6408.882,50.816,46.501,60.682,
T8S24_mesh.ply,22312.104,6509.421,63.940,49.361,54.404,
T8S27_mesh.ply,16294.244,5783.387,45.639,41.661,52.196,
T8S3_mesh.ply,33005.751,8099.728,65.994,36.712,42.147,
T8S6_mesh.ply,35198.993,9783.833,71.451,50.369,65.328,
T8S9_mesh.ply,28838.349,11422.615,83.891,44.593,54.725,
T9S12_mesh.ply,31249.955,10464.875,72.171,43.419,51.613,
T9S15_mesh.ply,35810.533,11103.766,65.348,51.264,65.362,
T9S18_mesh.ply,17405.884,9387.636,83.067,44.425,64.302,
T9S21_mesh.ply,35516.812,12199.393,54.665,50.231,58.434,
T9S24_mesh.ply,25192.880,11088.989,98.631,65.961,53.225,
T9S26_mesh.ply,14238.908,7713.988,54.237,42.301,52.156,
T9S27_mesh.ply,38172.652,16012.465,73.147,53.395,68.099,
T9S30_mesh.ply,45086.351,14015.377,72.943,61.892,59.542,
T9S32_mesh.ply,43618.112,13873.928,73.480,62.459,65.821,
T9S35_mesh.ply,13114.105,10149.223,70.534,43.558,60.794,
T9S38_mesh.ply,27397.568,11462.024,78.875,42.622,66.599,
T9S3_mesh.ply,53898.630,12917.764,56.401,48.491,63.202,
T9S41_mesh.ply,20609.096,8599.526,82.242,60.333,61.323,
T9S44_mesh.ply,23870.209,9447.039,58.423,42.583,57.369,
T9S6_mesh.ply,25242.499,11228.331,66.546,55.463,61.095,
T9S9_mesh.ply,53500.813,17240.785,90.096,60.576,80.748,
