File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
Acacia 1_mesh_1.ply,1922.044,1199.445,29.953,31.533,40.176,
Acacia 1_mesh_2.ply,8193.871,2858.927,36.233,38.756,49.624,
Acacia 1_mesh_3.ply,458.004,628.263,27.995,30.949,40.345,
Acacia 2_mesh_1.ply,3481.187,1738.503,22.087,34.124,43.786,
Acacia 2_mesh_2.ply,7116.135,2678.099,29.066,38.901,48.173,
Acacia 2_mesh_3.ply,573.871,702.046,17.772,30.369,44.331,
Acacia 3_mesh_1.ply,711.407,755.752,17.972,35.647,39.094,
Acacia 3_mesh_2.ply,7380.608,2568.086,28.575,38.998,49.255,
Acacia 3_mesh_3.ply,1646.374,1152.563,19.783,33.62,43.195,
Eucalyptus 1_mesh_1.ply,2574.477,1456.445,39.687,28.397,38.546,
Eucalyptus 1_mesh_2.ply,8138.815,2716.176,43.424,36.44,42.268,
Eucalyptus 1_mesh_3.ply,1270.671,1029.419,39.933,28.62,37.393,
Eucalyptus 2_mesh_1.ply,2525.178,1439.069,53.723,9.857,11.586,
Eucalyptus 2_mesh_2.ply,7462.067,2636.685,54.767,16.996,18.998,
Eucalyptus 2_mesh_3.ply,1303.459,1009.831,52.655,9.078,11.825,
Eucalyptus 3_mesh_1.ply,632.002,687.07,21.151,29.58,40.411,
Eucalyptus 3_mesh_2.ply,2669.625,1463.012,27.513,35.008,43.77,
Eucalyptus 3_mesh_3.ply,9153.349,2933.942,35.348,39.81,49.753,
Pine 1_mesh_1.ply,3804.193,2016.679,45.076,31.924,39.328,
Pine 1_mesh_2.ply,8903.249,3241.111,45.763,33.129,43.894,
Pine 1_mesh_3.ply,1565.044,1390.524,40.591,27.824,38.011,
Pine 2_mesh_1.ply,1086.452,1032.201,50.256,16.235,21.139,
Pine 2_mesh_2.ply,8158.752,2937.352,57.873,24.868,30.032,
Pine 2_mesh_3.ply,3399.926,1937.686,55.438,18.921,22.55,
Pine 3_mesh_1.ply,2946.619,1771.285,26.081,33.719,46.243,
Pine 3_mesh_2.ply,7851.176,2818.463,30.899,38.984,51.932,
Pine 3_mesh_3.ply,916.445,942.8,26.025,32.177,42.289,
