File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0821_09 cylinder_mesh_1.ply,10063.600,4330.177,107.335,22.229,18.575,
0821_09 cylinder_mesh_10.ply,811.988,1608.884,25.990,22.793,11.025,
0821_09 cylinder_mesh_2.ply,458.593,676.243,38.016,11.589,5.509,
0821_09 cylinder_mesh_3.ply,5557.655,4411.012,114.655,38.385,12.904,
0821_09 cylinder_mesh_4.ply,90.172,476.225,29.100,16.799,7.656,
0821_09 cylinder_mesh_5.ply,432.499,751.848,28.592,15.837,5.418,
0821_09 cylinder_mesh_6.ply,1099.457,1779.764,65.177,13.364,7.699,
0821_09 cylinder_mesh_7.ply,3810.391,2545.135,38.699,20.917,13.450,
0821_09 cylinder_mesh_8.ply,894.852,1739.634,57.308,14.595,10.967,
0821_09 cylinder_mesh_9.ply,846.140,935.107,31.812,9.571,8.380,
