File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0825_09_mesh_1.ply,566.684,1509.040,56.989,18.113,13.925,
0825_09_mesh_10.ply,588.209,1006.773,38.923,15.749,8.686,
0825_09_mesh_11.ply,96.020,399.611,29.573,10.535,4.077,
0825_09_mesh_2.ply,20589.194,10775.454,137.548,34.402,22.444,
0825_09_mesh_3.ply,169.984,974.520,42.297,19.846,5.570,
0825_09_mesh_4.ply,79.687,498.932,32.071,9.746,3.511,
0825_09_mesh_5.ply,195.660,523.250,22.146,10.986,5.362,
0825_09_mesh_6.ply,723.579,1696.025,48.732,20.761,10.097,
0825_09_mesh_7.ply,305.263,618.392,37.922,9.884,8.833,
0825_09_mesh_8.ply,164.373,510.279,28.827,8.532,6.267,
0825_09_mesh_9.ply,185.377,534.443,18.380,17.542,5.703,
