File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0825_02_mesh_1.ply,31.204,521.222,16.572,14.506,7.414,0.043
0825_02_mesh_10.ply,224.775,856.433,24.654,21.989,4.331,0.052
0825_02_mesh_11.ply,61.099,699.246,37.629,14.103,1.817,0.013
0825_02_mesh_12.ply,45.422,1751.797,32.965,27.937,10.204,0.275
0825_02_mesh_13.ply,24.927,403.518,15.047,16.838,6.042,0.017
0825_02_mesh_14.ply,40.393,558.590,24.521,12.324,4.987,0.030
0825_02_mesh_15.ply,505.568,702.068,29.114,13.222,4.287,0.126
0825_02_mesh_16.ply,27.746,417.375,15.769,14.375,5.519,0.035
0825_02_mesh_17.ply,554.668,1076.727,25.950,23.659,4.851,0.116
0825_02_mesh_18.ply,402.588,944.924,29.057,22.235,6.109,0.114
0825_02_mesh_19.ply,159.857,659.819,31.902,13.211,4.023,0.028
0825_02_mesh_2.ply,89.736,737.282,31.393,12.837,4.518,0.026
0825_02_mesh_20.ply,56.319,361.235,13.421,19.794,11.647,0.014
0825_02_mesh_21.ply,299.862,707.919,16.697,25.852,5.999,0.084
0825_02_mesh_3.ply,410.963,848.689,26.313,21.861,5.582,0.101
0825_02_mesh_4.ply,20.532,375.657,19.403,11.388,3.751,0.012
0825_02_mesh_5.ply,409.952,517.235,16.230,15.230,5.956,0.084
0825_02_mesh_6.ply,221.072,740.066,23.931,14.954,6.905,0.070
0825_02_mesh_7.ply,66.499,440.959,25.998,10.389,2.326,0.031
0825_02_mesh_8.ply,157.115,422.270,25.028,11.848,2.432,0.040
0825_02_mesh_9.ply,92.679,561.413,19.641,14.626,5.225,0.033
