File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0825_04_mesh_1.ply,83.532,1365.762,47.880,18.995,9.809,
0825_04_mesh_10.ply,278.674,652.495,42.022,10.016,7.289,
0825_04_mesh_11.ply,736.576,813.849,28.097,17.319,8.809,
0825_04_mesh_12.ply,248.398,708.627,38.636,10.998,6.669,
0825_04_mesh_2.ply,403.236,1551.335,43.708,18.967,9.096,
0825_04_mesh_3.ply,187.583,632.302,21.161,14.704,9.062,
0825_04_mesh_4.ply,567.087,1083.904,35.065,14.935,12.733,
0825_04_mesh_5.ply,511.753,1273.167,55.058,9.813,9.387,
0825_04_mesh_6.ply,2469.491,1446.710,35.239,20.209,10.504,
0825_04_mesh_7.ply,156.120,603.556,25.615,12.550,5.815,
0825_04_mesh_8.ply,1099.884,2575.123,65.894,17.843,13.248,
0825_04_mesh_9.ply,12.023,595.952,25.409,12.350,4.584,
