File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0819_02_mesh_1.ply,946.697,1403.434,44.891,18.023,13.633,0.207
0819_02_mesh_10.ply,520.543,554.935,19.809,13.821,4.559,0.104
0819_02_mesh_11.ply,1023.772,967.956,30.526,17.657,5.033,0.184
0819_02_mesh_12.ply,37.314,151.033,11.919,9.532,1.73,0.007
0819_02_mesh_2.ply,493.081,1085.109,30.235,19.847,6.947,0.19
0819_02_mesh_3.ply,728.763,991.428,26.928,21.006,4.459,0.141
0819_02_mesh_4.ply,927.085,1164.947,41.544,13.955,5.934,0.171
0819_02_mesh_5.ply,266.314,551.952,31.336,10.75,3.748,0.043
0819_02_mesh_6.ply,48.054,170.004,9.476,9.762,4.24,0.011
0819_02_mesh_7.ply,690.334,876.968,24.566,18.499,8.487,0.126
0819_02_mesh_8.ply,122.712,169.802,11.559,7.248,3.119,0.026
0819_02_mesh_9.ply,910.718,1684.603,54.339,17.254,5.028,0.232
