File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0831_15_mesh_1.ply,470.310,2526.074,57.388,15.642,9.028,
0831_15_mesh_10.ply,1664.153,1992.626,72.645,20.762,15.992,
0831_15_mesh_11.ply,255.185,717.535,35.508,10.673,5.322,
0831_15_mesh_2.ply,821.276,2007.060,33.456,26.293,16.066,
0831_15_mesh_3.ply,176.503,731.619,45.978,13.001,4.724,
0831_15_mesh_4.ply,271.246,2425.353,45.236,25.965,13.055,
0831_15_mesh_5.ply,1542.677,2892.414,67.740,34.376,22.140,
0831_15_mesh_6.ply,116.594,311.027,18.616,9.668,2.701,
0831_15_mesh_7.ply,43.419,711.768,31.884,11.515,4.643,
0831_15_mesh_8.ply,174.001,319.736,21.149,9.076,3.327,
0831_15_mesh_9.ply,328.493,916.556,18.616,20.314,9.139,
