File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0823_06_mesh_1.ply,50.418,281.350,18.346,10.261,2.144,
0823_06_mesh_10.ply,136.200,331.716,25.044,7.945,3.802,
0823_06_mesh_11.ply,23.202,273.960,17.650,8.907,2.772,
0823_06_mesh_12.ply,142.487,318.749,20.353,8.491,5.859,
0823_06_mesh_13.ply,181.068,465.973,30.243,10.842,7.615,
0823_06_mesh_14.ply,1322.570,1598.467,62.177,23.656,4.512,
0823_06_mesh_15.ply,67.441,272.475,14.429,8.908,3.523,
0823_06_mesh_16.ply,164.223,391.707,29.267,8.634,4.124,
0823_06_mesh_17.ply,215.840,637.697,34.163,10.312,3.259,
0823_06_mesh_18.ply,760.719,850.329,57.434,8.870,5.369,
0823_06_mesh_19.ply,63.369,374.931,24.627,9.488,2.215,
0823_06_mesh_2.ply,84.424,222.140,18.270,7.917,2.837,
0823_06_mesh_3.ply,140.564,217.734,12.920,10.006,4.716,
0823_06_mesh_4.ply,50.981,209.934,22.688,5.961,3.744,
0823_06_mesh_5.ply,32.802,315.550,23.030,10.759,2.447,
0823_06_mesh_6.ply,69.910,263.592,16.516,9.730,2.899,
0823_06_mesh_7.ply,266.744,386.193,24.642,9.222,5.323,
0823_06_mesh_8.ply,117.491,286.396,17.209,10.945,2.944,
0823_06_mesh_9.ply,16.351,367.742,28.522,8.069,2.441,
