File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0825_01_mesh_2.ply,4648.949,3535.309,71.952,29.476,24.603,0.642
0825_01_mesh_3.ply,1680.045,2100.806,59.288,24.887,10.538,0.369
0825_01_mesh_4.ply,844.165,1383.625,47.874,15.955,8.585,0.235
0825_01_mesh_5.ply,666.774,1147.456,28.255,21.149,14.137,0.19
0825_01_mesh_10.ply,108.689,248.635,13.014,8.831,8.082,0.169
0825_01_mesh_7.ply,140.766,1800.198,78.014,20.484,7.143,0.11
0825_01_mesh_8.ply,349.003,856.991,16.018,29.811,9.814,0.141
0825_01_mesh_9.ply,1325.269,4849.146,122.262,32.114,24.766,0.3
0825_01_mesh_1.ply,20.0888,1253.433,40.465,23.055,11.795,0.025
0825_01_mesh_6.ply,841.373,995.096,20.476,27.395,10.227,0.21
