File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0404_02_mesh_1.ply,1279.694,888.433,16.152,17.513,14.188,
0404_02_mesh_10.ply,1382.462,980.628,34.681,20.991,10.291,0.447
0404_02_mesh_11.ply,118.690,201.664,22.430,5.932,3.435,0.041
0404_02_mesh_12.ply,207.006,264.475,21.215,6.326,4.131,0.073
0404_02_mesh_2.ply,579.997,718.866,59.738,8.534,7.072,0.190
0404_02_mesh_3.ply,2001.286,1137.965,34.966,19.057,14.796,0.620
0404_02_mesh_4.ply,625.213,664.948,33.682,21.172,9.604,0.240
0404_02_mesh_5.ply,250.781,368.186,36.033,10.061,4.769,0.082
0404_02_mesh_6.ply,345.965,533.139,53.461,16.490,5.144,0.084
0404_02_mesh_7.ply,210.537,344.793,37.676,9.223,3.768,0.067
0404_02_mesh_8.ply,5636.548,3220.811,69.925,34.773,18.402,5.368
0404_02_mesh_9.ply,709.611,908.501,61.835,12.784,20.666,0.240
