File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0407_27_mesh_1.ply,121.047,224.028,25.225,7.005,3.705,0.018
0407_27_mesh_10.ply,26.718,101.894,21.778,2.201,2.908,0.008
0407_27_mesh_11.ply,131.621,176.582,15.161,6.442,5.248,0.046
0407_27_mesh_12.ply,27.363,86.461,17.808,4.588,2.305,0.007
0407_27_mesh_13.ply,107.191,236.826,34.815,8.391,6.057,0.032
0407_27_mesh_14.ply,200.693,325.591,36.55,5.478,3.776,0.055
0407_27_mesh_15.ply,43.22,156.125,25.859,6.32,3.507,0.036
0407_27_mesh_16.ply,171.291,201.85,15.885,4.362,4.242,0.024
0407_27_mesh_17.ply,1314.877,765.044,13.796,15.005,13.359,
0407_27_mesh_18.ply,33.781,86.338,15.18,3.307,2.076,0.009
0407_27_mesh_2.ply,65.901,147.097,14.403,4.357,3.018,0.016
0407_27_mesh_3.ply,65.982,172.389,27.264,7.662,5.004,0.063
0407_27_mesh_4.ply,105.805,206.563,27.93,7.188,4.624,0.027
0407_27_mesh_5.ply,43.611,143.202,17.477,7.117,3.166,0.012
0407_27_mesh_6.ply,48.713,98.346,10.811,4.735,3.851,0.011
0407_27_mesh_7.ply,31.322,110.698,16.231,4.695,4.0,0.011
0407_27_mesh_8.ply,62.521,221.386,32.633,18.444,6.365,0.022
0407_27_mesh_9.ply,30.317,72.967,11.356,2.367,2.347,0.006
