File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Fresh mass (g),Dried mass (g)
Curve 1_mesh.ply,7053.272,11552.514,98.89,76.916,98.759,5.43,5.1
Curve 2_mesh.ply,9543.572,14406.642,108.086,65.523,91.582,7.64,6.13
Curve 3_mesh.ply,9641.037,18212.136,120.901,66.193,90.959,10.6,9.57
Curve 4_mesh.ply,6111.69,16514.09,120.649,79.433,103.308,6.38,6.19
Curve 5_mesh.ply,3515.075,11799.508,105.425,85.919,118.551,3.44,3.37
Curve 6_mesh.ply,5733.123,15034.901,84.176,79.029,118.177,6.05,5.81
Flat 1_mesh.ply,5027.755,14622.784,104.16,67.269,86.41,4.51,4.11
Flat 2_mesh.ply,6458.08,19842.563,144.812,79.559,116.157,5.78,5.29
Flat 3_mesh.ply,6059,,,,,5.15,4.85
Flat 4_mesh.ply,5111,,,,,4.6,4.35
Flat 5_mesh.ply,8393.289,12660.785,110.391,66.625,92.525,5.78,5.61
Flat 6_mesh.ply,4163.96,12572.494,87.742,74.17,114.475,4.08,3.99
