File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Fresh mass (g),Dried mass (g)
T16S12_mesh.ply,12875.998,11059.618,98.827,53.796,68.826,4.23,3.47
T16S15_mesh.ply,28228.556,11492.536,89.508,47.179,54.447,4.98,4.16
T16S18_mesh.ply,23400.513,10642.726,60.597,45.496,51.432,4.77,3.95
T16S21_mesh.ply,10686.29,7744.021,62.244,36.268,73.46,4.28,3.5
T16S24_mesh.ply,7628.157,7166.731,55.022,36.59,47.217,3.44,3.39
T16S27_mesh.ply,5166.943,7773.588,66.075,55.354,53.749,4.17,2.75
T16S3_mesh.ply,14905.328,7579.462,54.369,44.868,53.331,6.18,5.24
T16S30_mesh.ply,20368.356,7740.337,63.172,41.299,45.98,5.58,4.79
T16S6_mesh.ply,38453.662,10834.923,53.607,48.876,59.245,20.99,18.603
T16S9_mesh.ply,20589.889,11408.649,58.872,51.913,58.001,5.14,4.31
T17S12_mesh.ply,4347.489,4057.46,56.295,39.972,45.445,4.05,3.76
T17S15_mesh.ply,5745.957,4926.449,70.989,38.869,48.215,4.48,4.15
T17S18_mesh.ply,13704.144,9155.971,60.173,45.614,50.727,5.31,4.9
T17S21_mesh.ply,10831.43,8841.04,61.474,39.101,48.349,4.28,3.97
T17S3_mesh.ply,26884.648,9980.557,63.917,39.004,53.145,8.1,7.54
T17S6_mesh.ply,18615.176,8846.237,57.77,49.824,57.6,5.12,4.75
T17S9_mesh.ply,13759.232,10618.859,69.926,45.366,70.705,5.73,5.35
T5S12_mesh.ply,28467.663,15405.55,80.471,52.41,79.271,4.1,3.67
T5S15_mesh.ply,24512.942,10701.415,69.89,63.945,80.775,2.82,2.56
T5S18_mesh.ply,13999.976,7612.346,72.637,43.055,51.272,2.63,2.39
T5S21_mesh.ply,16668.073,11320.739,68.434,44.284,58.793,2.73,2.44
T5S24_mesh.ply,12052.906,8289.517,64.222,45.454,57.075,2.79,2.53
T5S27_mesh.ply,9761.585,9726.196,72.685,49.51,72.25,3.12,2.84
T5S3_mesh.ply,35526.703,20535.294,99.979,59.855,85.697,6.17,5.72
T5S30_mesh.ply,18427.883,9719.953,63.265,51.193,68.623,2.97,2.7
T5S33_mesh.ply,12618.278,8698.877,67.79,41.386,52.823,3.12,2.96
T5S36_mesh.ply,29033.728,11385.702,58.994,59.843,51.095,5.03,4.57
T5S6_mesh.ply,19198.475,19249.941,74.695,64.857,87.546,4.06,3.8
T5S9_mesh.ply,22944.891,10569.676,75.792,52.068,61.803,3.83,3.49
T8S12_mesh.ply,22539.868,6533.191,64.503,34.935,42.545,24.21,11.25
T8S15_mesh.ply,24706.092,7187.491,52.041,43.831,59.877,25.49,12.51
T8S18_mesh.ply,22414.138,7197.38,48.545,39.07,52.277,25.08,11.48
T8S21_mesh.ply,20591.18,6408.882,50.816,46.501,60.682,23.74,10.56
T8S24_mesh.ply,22312.104,6509.421,63.94,49.361,54.404,23.07,10.34
T8S27_mesh.ply,16294.244,5783.387,45.639,41.661,52.196,17.17,7.5
T8S3_mesh.ply,33005.751,8099.728,65.994,36.712,42.147,41.41,20.45
T8S6_mesh.ply,35198.993,9783.833,71.451,50.369,65.328,35.36,17.93
T8S9_mesh.ply,28838.349,11422.615,83.891,44.593,54.725,29.06,13.42
T9S12_mesh.ply,31249.955,10464.875,72.171,43.419,51.613,5.9,5.46
T9S15_mesh.ply,35810.533,11103.766,65.348,51.264,65.362,8.52,7.9
T9S18_mesh.ply,17405.884,9387.636,83.067,44.425,64.302,5.41,5.04
T9S21_mesh.ply,35516.812,12199.393,54.665,50.231,58.434,7.23,6.72
T9S24_mesh.ply,25192.88,11088.989,98.631,65.961,53.225,5.33,4.97
T9S26_mesh.ply,14238.908,7713.988,54.237,42.301,52.156,2.95,2.77
T9S27_mesh.ply,38172.652,16012.465,73.147,53.395,68.099,6.59,6.16
T9S3_mesh.ply,53898.63,12917.764,56.401,48.491,63.202,15.23,11.64
T9S30_mesh.ply,45086.351,14015.377,72.943,61.892,59.542,8.2,7.64
T9S32_mesh.ply,43618.112,13873.928,73.48,62.459,65.821,12.99,11.77
T9S35_mesh.ply,13114.105,10149.223,70.534,43.558,60.794,4.11,3.81
T9S38_mesh.ply,27397.568,11462.024,78.875,42.622,66.599,5.69,5.32
T9S41_mesh.ply,20609.096,8599.526,82.242,60.333,61.323,7.12,6.6
T9S44_mesh.ply,23870.209,9447.039,58.423,42.583,57.369,5.8,5.38
T9S6_mesh.ply,25242.499,11228.331,66.546,55.463,61.095,8.29,7.7
T9S9_mesh.ply,53500.813,17240.785,90.096,60.576,80.748,9.88,9.16
