File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0407_06_mesh_1.ply,2724.877,1566.913,60.532,17.395,9.548,0.71
0407_06_mesh_10.ply,589.453,473.815,21.211,10.948,7.974,0.2
0407_06_mesh_11.ply,1211.114,1250.238,77.161,24.544,9.829,0.437
0407_06_mesh_12.ply,850.979,695.736,33.741,9.252,7.502,0.221
0407_06_mesh_13.ply,577.694,507.219,26.795,7.906,7.555,0.139
0407_06_mesh_14.ply,549.136,422.613,19.731,7.261,7.982,0.171
0407_06_mesh_15.ply,288.645,278.386,12.35,12.823,5.59,0.107
0407_06_mesh_16.ply,1331.494,865.314,32.763,10.612,8.546,0.356
0407_06_mesh_17.ply,1218.697,821.021,18.91,18.846,15.134,
0407_06_mesh_2.ply,525.335,780.317,75.086,12.176,6.408,0.273
0407_06_mesh_3.ply,145.491,176.818,12.511,6.384,5.988,0.063
0407_06_mesh_4.ply,921.371,734.599,36.128,10.263,9.397,0.284
0407_06_mesh_5.ply,886.85,1010.569,63.794,22.416,10.046,0.268
0407_06_mesh_6.ply,608.238,688.493,47.355,13.271,8.014,0.197
0407_06_mesh_7.ply,202.853,250.19,20.137,5.43,4.662,0.056
0407_06_mesh_8.ply,1250.655,837.21,34.325,12.005,8.147,0.313
0407_06_mesh_9.ply,1115.609,681.616,24.816,10.526,9.268,0.319
