File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0407_21_mesh_1.ply,36.452,84.262,11.153,5.119,2.583,0.011
0407_21_mesh_10.ply,33.073,69.279,8.627,3.490,2.638,0.010
0407_21_mesh_11.ply,17.708,89.102,8.706,7.670,2.386,0.008
0407_21_mesh_12.ply,1302.363,786.415,16.055,14.903,13.459,
0407_21_mesh_13.ply,13.216,48.788,14.596,2.226,2.057,0.004
0407_21_mesh_14.ply,20.280,71.673,15.838,4.418,1.942,0.009
0407_21_mesh_15.ply,12.859,57.543,17.450,2.559,1.581,0.005
0407_21_mesh_16.ply,10.744,51.370,16.035,3.112,1.407,0.004
0407_21_mesh_17.ply,20.396,67.203,14.703,2.589,1.732,0.007
0407_21_mesh_2.ply,7.249,104.069,9.634,6.131,3.395,0.006
0407_21_mesh_3.ply,26.724,88.878,19.138,3.230,1.884,0.006
0407_21_mesh_4.ply,34.871,80.937,12.327,3.209,2.260,0.008
0407_21_mesh_5.ply,29.764,63.068,8.068,4.259,2.542,0.007
0407_21_mesh_6.ply,6.638,107.367,8.517,8.495,3.086,0.008
0407_21_mesh_7.ply,55.775,153.783,29.395,5.665,2.276,0.011
0407_21_mesh_8.ply,6.249,117.789,9.946,9.079,2.024,0.013
0407_21_mesh_9.ply,22.784,51.167,6.780,2.866,2.369,0.007
