File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0522_06_mesh_1.ply,727.686,615.594,19.06,12.608,12.708,0.2
0522_06_mesh_10.ply,1203.107,845.85,17.236,14.14,14.554,
0522_06_mesh_11.ply,25.774,107.654,16.234,3.733,5.224,0.014
0522_06_mesh_12.ply,817.477,667.399,32.628,9.934,7.689,0.261
0522_06_mesh_2.ply,137.16,257.973,19.441,6.583,5.521,0.103
0522_06_mesh_3.ply,3624.416,1928.164,67.707,15.263,11.354,0.967
0522_06_mesh_4.ply,401.012,423.534,29.095,9.268,6.46,0.089
0522_06_mesh_5.ply,2093.876,2013.266,121.21,28.261,12.021,0.44
0522_06_mesh_6.ply,54.098,214.484,12.24,10.959,5.046,0.016
0522_06_mesh_7.ply,466.197,397.598,14.885,12.983,7.487,0.166
0522_06_mesh_8.ply,2748.794,1414.523,40.58,12.218,11.968,0.594
0522_06_mesh_9.ply,1902.396,1537.522,78.821,18.735,8.909,0.811
