File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0524_09_mesh_1.ply,734.593,576.625,28.031,7.644,7.023,0.163
0524_09_mesh_10.ply,575.187,767.065,53.348,17.167,10.895,0.132
0524_09_mesh_11.ply,9.110,125.383,12.674,6.323,3.066,0.008
0524_09_mesh_12.ply,99.122,233.041,24.164,5.654,2.639,0.045
0524_09_mesh_13.ply,416.735,395.052,20.405,8.967,6.097,0.095
0524_09_mesh_14.ply,415.635,374.177,18.851,7.804,6.459,0.168
0524_09_mesh_15.ply,274.681,322.847,12.736,9.219,6.411,0.059
0524_09_mesh_16.ply,1199.272,714.045,13.104,13.359,13.747,
0524_09_mesh_2.ply,680.970,763.716,54.484,12.750,5.960,0.180
0524_09_mesh_3.ply,207.866,213.979,11.076,6.115,6.271,0.058
0524_09_mesh_4.ply,1036.305,988.572,61.208,10.030,6.620,0.295
0524_09_mesh_5.ply,105.743,195.100,14.204,5.593,5.960,0.060
0524_09_mesh_6.ply,718.969,745.314,45.119,10.162,6.531,0.481
0524_09_mesh_7.ply,322.321,394.993,24.945,6.088,4.907,0.078
0524_09_mesh_8.ply,815.962,768.199,49.791,10.679,5.677,0.174
0524_09_mesh_9.ply,141.332,231.560,26.522,3.530,3.477,0.035
