File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S13g_mesh_1.ply,132.712,327.110,29.545,8.574,5.140,
S13g_mesh_10.ply,284.272,642.113,34.742,15.223,8.441,
S13g_mesh_11.ply,829.115,985.653,47.187,12.122,10.263,
S13g_mesh_2.ply,111.967,278.776,34.399,5.735,2.370,
S13g_mesh_3.ply,246.758,445.693,26.206,10.319,4.643,
S13g_mesh_4.ply,322.478,705.358,29.624,16.426,8.588,
S13g_mesh_5.ply,485.324,861.476,38.752,19.244,6.181,
S13g_mesh_6.ply,238.964,535.955,34.795,15.721,5.456,
S13g_mesh_7.ply,600.644,1314.960,72.755,20.847,14.543,
S13g_mesh_8.ply,502.579,884.013,41.997,20.953,8.710,
S13g_mesh_9.ply,533.424,867.213,36.634,13.262,6.659,
