File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S16f_mesh_1.ply,202.330,472.666,27.756,11.342,4.380,
S16f_mesh_10.ply,144.136,365.399,33.402,8.446,3.133,
S16f_mesh_11.ply,254.051,510.976,42.237,7.489,6.469,
S16f_mesh_12.ply,144.842,440.638,46.297,8.684,6.812,
S16f_mesh_13.ply,364.205,768.514,67.230,13.040,6.007,
S16f_mesh_14.ply,200.646,404.282,33.663,6.827,6.010,
S16f_mesh_15.ply,97.235,346.969,32.615,7.980,2.288,
S16f_mesh_16.ply,171.420,431.269,40.486,11.318,5.298,
S16f_mesh_2.ply,74.396,252.952,27.747,7.155,4.188,
S16f_mesh_3.ply,272.412,342.151,21.305,7.963,4.482,
S16f_mesh_4.ply,2.046,320.013,23.841,10.727,3.650,
S16f_mesh_5.ply,114.127,429.648,37.813,8.186,5.931,
S16f_mesh_6.ply,101.663,283.794,23.907,6.992,5.344,
S16f_mesh_7.ply,187.557,399.558,35.655,8.140,2.951,
S16f_mesh_8.ply,148.682,389.861,27.486,9.324,5.676,
S16f_mesh_9.ply,127.585,300.903,32.001,6.480,4.425,
