File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S22d_mesh_1.ply,584.258,843.404,37.186,19.086,4.581,
S22d_mesh_10.ply,319.687,385.420,23.945,9.959,4.823,
S22d_mesh_11.ply,316.179,972.159,32.332,20.535,7.692,
S22d_mesh_2.ply,731.001,1076.933,65.488,11.398,8.773,
S22d_mesh_3.ply,124.957,604.938,38.994,10.992,6.048,
S22d_mesh_4.ply,808.893,1526.639,60.040,18.315,12.060,
S22d_mesh_5.ply,202.942,871.651,31.073,19.496,6.158,
S22d_mesh_6.ply,576.437,994.596,72.519,10.633,9.332,
S22d_mesh_7.ply,874.722,1638.678,72.584,32.600,12.420,
S22d_mesh_8.ply,134.532,468.131,33.516,9.491,7.800,
S22d_mesh_9.ply,734.694,1726.907,67.126,29.628,14.487,
