File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S31e_mesh_1.ply,1204.509,1469.970,57.440,13.554,7.009,
S31e_mesh_10.ply,479.017,1367.378,45.476,20.634,9.635,
S31e_mesh_11.ply,41.823,130.785,19.606,4.752,2.202,
S31e_mesh_12.ply,210.660,610.982,34.585,13.873,6.873,
S31e_mesh_2.ply,996.033,1520.219,61.477,21.949,11.135,
S31e_mesh_3.ply,206.292,838.731,50.195,12.281,11.982,
S31e_mesh_4.ply,273.772,528.525,42.848,6.865,6.220,
S31e_mesh_5.ply,626.277,922.954,43.076,13.275,5.538,
S31e_mesh_6.ply,243.586,362.918,23.023,9.639,5.554,
S31e_mesh_7.ply,250.739,497.167,50.758,6.846,4.265,
S31e_mesh_8.ply,149.353,411.021,37.669,9.070,6.482,
S31e_mesh_9.ply,336.177,644.306,44.562,15.210,6.130,
