File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S34_mesh_1.ply,54.007,671.208,42.365,11.192,8.562,
S34_mesh_10.ply,270.415,775.369,53.841,11.134,9.009,
S34_mesh_11.ply,207.164,435.327,25.749,15.809,6.542,
S34_mesh_2.ply,997.391,2274.720,93.764,17.659,6.619,
S34_mesh_3.ply,3.618,255.078,31.011,8.723,4.161,
S34_mesh_4.ply,49.348,429.105,34.021,20.615,3.396,
S34_mesh_5.ply,89.780,409.482,38.250,12.211,7.215,
S34_mesh_6.ply,47.488,119.094,17.880,3.476,3.376,
S34_mesh_7.ply,296.835,841.660,43.094,10.861,7.625,
S34_mesh_8.ply,39.149,328.803,40.161,8.553,5.127,
S34_mesh_9.ply,479.674,1632.743,62.787,24.821,6.868,
