File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S14a_mesh_1.ply,652.036,1542.112,56.463,21.827,12.147,
S14a_mesh_10.ply,292.462,423.941,22.057,9.993,5.169,
S14a_mesh_11.ply,3.680,119.859,12.885,6.583,1.568,
S14a_mesh_12.ply,117.701,774.504,38.494,12.704,6.083,
S14a_mesh_2.ply,111.850,309.274,32.325,9.239,5.083,
S14a_mesh_3.ply,217.305,576.077,51.236,10.314,4.634,
S14a_mesh_4.ply,841.677,1825.332,61.643,22.191,13.205,
S14a_mesh_5.ply,15.941,486.751,26.221,13.425,3.720,
S14a_mesh_6.ply,98.001,456.218,35.024,10.047,4.741,
S14a_mesh_7.ply,452.456,1557.351,65.722,19.846,12.628,
S14a_mesh_8.ply,70.257,210.697,20.214,7.164,3.809,
S14a_mesh_9.ply,945.203,2175.069,68.529,20.626,13.433,
