File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S16c_mesh_1.ply,229.830,514.820,40.047,8.066,6.972,
S16c_mesh_10.ply,152.814,372.090,42.085,14.384,3.467,
S16c_mesh_11.ply,77.782,177.086,18.726,5.513,2.501,
S16c_mesh_12.ply,18.324,141.179,16.366,5.767,2.245,
S16c_mesh_13.ply,18.908,131.491,16.065,6.177,1.711,
S16c_mesh_14.ply,61.540,238.331,22.416,10.672,3.526,
S16c_mesh_15.ply,47.408,133.067,16.670,5.297,2.539,
S16c_mesh_16.ply,167.251,398.260,31.122,9.640,4.885,
S16c_mesh_17.ply,87.281,364.702,28.034,10.519,2.987,
S16c_mesh_2.ply,60.377,193.143,28.082,4.965,4.265,
S16c_mesh_3.ply,59.679,300.906,30.709,8.935,3.044,
S16c_mesh_4.ply,81.570,175.786,22.240,4.241,3.095,
S16c_mesh_5.ply,311.258,686.522,60.920,9.429,4.884,
S16c_mesh_6.ply,320.939,922.245,65.810,9.908,12.054,
S16c_mesh_7.ply,23.553,298.426,33.714,8.488,4.234,
S16c_mesh_8.ply,93.478,519.124,47.428,7.399,6.328,
S16c_mesh_9.ply,116.592,431.586,48.736,12.165,6.009,
