File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S5d_mesh_1.ply,226.269,602.807,29.660,13.426,5.091,
S5d_mesh_10.ply,140.738,382.658,22.118,17.228,5.038,
S5d_mesh_11.ply,58.835,368.731,29.219,8.837,3.064,
S5d_mesh_12.ply,87.342,339.406,31.966,7.072,3.266,
S5d_mesh_2.ply,141.223,644.307,31.552,15.593,4.641,
S5d_mesh_3.ply,333.927,791.102,41.065,11.953,8.985,
S5d_mesh_4.ply,112.847,385.196,29.431,10.367,3.816,
S5d_mesh_5.ply,232.772,426.042,25.932,8.865,4.474,
S5d_mesh_6.ply,30.290,650.595,32.115,15.562,6.520,
S5d_mesh_7.ply,84.989,475.467,30.340,10.071,2.101,
S5d_mesh_8.ply,153.255,408.503,32.632,7.544,6.359,
S5d_mesh_9.ply,366.647,700.419,42.292,12.792,4.234,
