File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S6b_mesh_1.ply,175.645,1269.160,62.204,16.699,11.597,
S6b_mesh_10.ply,25.098,281.138,27.068,7.072,4.834,
S6b_mesh_2.ply,83.319,346.922,21.789,11.548,6.924,
S6b_mesh_3.ply,341.225,608.204,35.007,10.385,7.573,
S6b_mesh_4.ply,661.825,1232.791,71.898,15.200,8.920,
S6b_mesh_5.ply,368.693,1654.773,46.540,24.746,14.992,
S6b_mesh_6.ply,9.909,114.461,23.396,4.516,1.310,
S6b_mesh_7.ply,196.794,380.732,30.922,9.192,4.279,
S6b_mesh_8.ply,503.532,716.645,49.976,8.070,8.107,
S6b_mesh_9.ply,423.126,952.961,46.418,15.403,6.332,
