File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S7e_mesh_1.ply,394.236,1035.311,48.215,17.673,8.737,
S7e_mesh_10.ply,1155.238,1583.881,50.535,21.535,7.887,
S7e_mesh_11.ply,29.494,398.231,32.908,9.154,4.139,
S7e_mesh_2.ply,408.807,794.429,55.957,17.086,7.219,
S7e_mesh_3.ply,392.637,623.494,38.255,12.639,8.720,
S7e_mesh_4.ply,148.327,278.149,23.702,8.044,4.437,
S7e_mesh_5.ply,367.081,662.429,39.069,13.525,7.565,
S7e_mesh_6.ply,292.978,555.969,29.816,9.847,7.736,
S7e_mesh_7.ply,448.386,1133.803,46.634,18.940,6.875,
S7e_mesh_8.ply,253.621,496.703,33.874,8.486,6.719,
S7e_mesh_9.ply,282.330,563.306,37.606,9.421,4.595,
