File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S9_mesh_1.ply,620.293,3126.510,108.096,22.645,14.162,
S9_mesh_10.ply,189.287,438.561,27.919,9.339,7.520,
S9_mesh_2.ply,1070.372,1623.120,61.480,23.310,8.225,
S9_mesh_3.ply,580.218,1619.257,58.661,22.051,10.226,
S9_mesh_4.ply,97.254,785.724,32.182,13.963,12.890,
S9_mesh_5.ply,18.980,996.650,46.869,13.681,4.866,
S9_mesh_6.ply,19.112,416.186,30.829,9.734,5.820,
S9_mesh_7.ply,710.647,1435.433,58.386,24.935,9.394,
S9_mesh_8.ply,218.386,402.099,24.059,10.065,3.796,
S9_mesh_9.ply,170.969,358.232,24.831,8.069,2.900,
