File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0422_07_mesh_1.ply,508.347,645.858,54.36,9.728,8.722,0.222
0422_07_mesh_10.ply,222.708,280.543,20.557,7.919,4.588,0.067
0422_07_mesh_11.ply,449.995,413.84,19.068,7.749,7.319,0.141
0422_07_mesh_12.ply,225.028,347.803,27.905,5.792,5.833,0.137
0422_07_mesh_13.ply,174.477,199.367,13.477,6.771,4.768,0.07
0422_07_mesh_14.ply,718.508,1070.298,69.664,29.735,27.452,0.419
0422_07_mesh_15.ply,272.725,333.04,18.309,9.024,6.878,0.101
0422_07_mesh_16.ply,1498.897,1046.045,42.474,9.017,8.33,0.388
0422_07_mesh_2.ply,6337.592,3703.365,106.221,26.475,26.067,3.804
0422_07_mesh_3.ply,152.595,192.972,12.773,5.275,5.279,0.067
0422_07_mesh_4.ply,87.3,163.711,16.533,6.516,3.833,0.053
0422_07_mesh_5.ply,499.675,1038.166,88.613,35.436,14.188,0.236
0422_07_mesh_6.ply,388.136,317.722,15.928,9.976,7.158,0.139
0422_07_mesh_7.ply,787.707,778.903,48.083,9.203,6.696,0.225
0422_07_mesh_8.ply,283.11,369.263,34.431,7.635,4.455,0.094
0422_07_mesh_9.ply,1221.059,831.149,16.412,17.043,13.237,
