File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0507_14_mesh_1.ply,1558.227,1190.325,44.891,12.126,9.357,0.513
0507_14_mesh_10.ply,217.417,225.999,13.046,7.022,5.412,0.066
0507_14_mesh_11.ply,1410.641,914.493,29.401,14.373,10.696,0.440
0507_14_mesh_12.ply,1791.417,1244.419,53.253,12.556,8.468,0.502
0507_14_mesh_13.ply,1440.521,1293.214,69.579,15.085,6.774,0.346
0507_14_mesh_14.ply,2005.725,1468.143,70.419,14.135,9.090,0.615
0507_14_mesh_15.ply,887.722,937.301,54.590,10.205,7.933,0.256
0507_14_mesh_2.ply,397.698,463.942,30.436,8.212,7.006,0.104
0507_14_mesh_3.ply,1204.037,785.824,16.563,14.843,13.344,
0507_14_mesh_4.ply,452.815,657.106,50.834,7.440,5.687,0.093
0507_14_mesh_5.ply,3173.794,1756.958,50.623,14.148,10.724,0.981
0507_14_mesh_6.ply,693.622,872.646,62.221,18.975,6.999,0.181
0507_14_mesh_7.ply,1945.606,1134.363,44.464,10.724,8.732,0.523
0507_14_mesh_8.ply,320.415,841.767,28.064,15.706,8.867,0.141
0507_14_mesh_9.ply,429.661,612.732,50.241,9.642,5.318,0.114
