Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0524_20.csv,0524_20_mesh_4.ply,0.945,70.372,6.055,6.525,1.439,0.007,7407.407407
0524_19.csv,0524_19_mesh_20.ply,4.34,115.928,13.075,5.904,1.695,0.015,3456.221198
0526_10.csv,0526_10_mesh_14.ply,2.036,53.555,9.177,5.071,1.078,0.007,3438.113949
0524_17.csv,0524_17_mesh_5.ply,23.309,292.478,17.886,11.815,4.667,0.05,2145.09417
0526_15.csv,0526_15_mesh_1.ply,2.831,45.39,5.376,6.239,1.595,0.006,2119.392441
0526_15.csv,0526_15_mesh_3.ply,2.013,79.671,9.303,5.443,1.612,0.004,1987.083954
0526_12.csv,0526_12_mesh_5.ply,11.678,93.822,10.05,5.032,3.588,0.022,1883.884227
0526_03.csv,0526_03_mesh_3.ply,8.43,43.922,4.943,5.894,1.707,0.01,1186.23962
0526_12.csv,0526_12_mesh_15.ply,7.544,58.844,6.031,6.398,2.323,0.008,1060.445387
0524_18.csv,0524_18_mesh_6.ply,20.05,156.149,13.205,6.464,3.474,0.018,897.755611
0524_18.csv,0524_18_mesh_4.ply,19.973,133.515,11.807,7.075,3.95,0.017,851.1490512
0526_12.csv,0526_12_mesh_12.ply,17.197,139.716,16.414,10.337,2.201,0.014,814.0954818
0526_10.csv,0526_10_mesh_13.ply,20.146,107.652,8.728,6.936,3.972,0.015,744.5646779
0524_20.csv,0524_20_mesh_5.ply,5.655,59.613,6.138,6.324,2.208,0.004,707.3386384
0524_17.csv,0524_17_mesh_2.ply,170.468,368.052,19.629,11.25,5.253,0.119,698.0782317
0524_19.csv,0524_19_mesh_1.ply,20.19,86.398,13.583,3.403,2.624,0.014,693.4125805
0526_03.csv,0526_03_mesh_9.ply,5.785,37.746,6.02,4.132,1.147,0.004,691.4433881
0526_10.csv,0526_10_mesh_10.ply,14.503,75.907,8.921,4.987,1.434,0.01,689.5125147
0524_22.csv,0524_22_mesh_15.ply,9.462,95.054,13.743,6.198,1.631,0.006,634.115409
0524_21.csv,0524_21_mesh_16.ply,685.57,682.122,39.729,8.259,6.45,0.433,631.5912307
0526_10.csv,0526_10_mesh_4.ply,32.457,154.236,10.88,7.639,3.001,0.02,616.1998952
0526_10.csv,0526_10_mesh_8.ply,26.552,120.711,11.693,6.253,2.342,0.016,602.5911419
0524_18.csv,0524_18_mesh_7.ply,23.27,89.724,8.99,6.205,3.332,0.014,601.6330039
0526_07.csv,0526_07_mesh_2.ply,13.701,124.163,10.279,8.951,3.282,0.008,583.8989855
0526_09.csv,0526_09_mesh_1.ply,14.02,74.79,8.984,5.264,1.545,0.008,570.6134094
0526_10.csv,0526_10_mesh_11.ply,21.146,63.416,6.365,5.833,2.546,0.012,567.483212
0524_19.csv,0524_19_mesh_8.ply,17.798,92.626,8.415,8.866,2.143,0.01,561.8608832
0526_14.csv,0526_14_mesh_11.ply,22.092,118.828,14.745,6.182,2.376,0.012,543.1830527
0526_10.csv,0526_10_mesh_6.ply,24.934,88.862,7.788,7.088,2.552,0.013,521.3764338
0526_10.csv,0526_10_mesh_2.ply,24.953,123.145,13.915,5.668,1.849,0.013,520.9794413
0526_14.csv,0526_14_mesh_5.ply,17.897,98.529,9.952,6.549,3.564,0.009,502.8775772
0524_15.csv,0524_15_mesh_10.ply,681.963,1075.115,53.857,29.025,10.372,0.342,501.4934828
0526_12.csv,0526_12_mesh_6.ply,24.269,120.691,8.238,7.347,3.785,0.012,494.4579505
0526_03.csv,0526_03_mesh_2.ply,14.54,58.597,5.707,5.261,1.716,0.007,481.4305365
0524_18.csv,0524_18_mesh_2.ply,21.482,142.26,22.142,4.803,2.9,0.01,465.506005
0526_03.csv,0526_03_mesh_4.ply,20.131,75.562,9.354,5.714,2.097,0.009,447.0716805
0524_19.csv,0524_19_mesh_18.ply,22.514,99.87,9.777,6.943,2.228,0.01,444.1680732
0526_14.csv,0526_14_mesh_6.ply,39.767,93.672,8.386,6.82,2.298,0.017,427.49013
0526_09.csv,0526_09_mesh_2.ply,16.585,71.062,8.568,5.459,1.715,0.007,422.0681339
0526_05.csv,0526_05_mesh_12.ply,69.207,112.314,7.988,6.116,4.44,0.028,404.5833514
