Experiment order,Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
3,0403_03.csv,0403_03_mesh_4.ply,596.585,67.575,11.577,16.928,5.554,0.011,18.43827786
3,0403_03.csv,0403_03_mesh_3.ply,8385.172,365.693,27.733,96.294,25.583,0.373,44.48328549
13,0407_05.csv,0407_05_mesh_2.ply,38.786,114.776,10.555,6.251,2.427,0.002,51.56499768
9,0405_06.csv,0405_06_mesh_14.ply,130.658,267.361,16.715,8.624,3.654,0.013,99.49639517
13,0407_03.csv,0407_03_mesh_26.ply,105.382,166.496,16.508,4.709,3.603,0.013,123.3607257
19,0408_10.csv,0408_10_mesh_3.ply,29.194,57.88,10.681,2.656,2.207,0.004,137.014455
17,0407_27.csv,0407_27_mesh_16.ply,171.291,201.85,15.885,4.362,4.242,0.024,140.1124402
17,0407_27.csv,0407_27_mesh_1.ply,121.047,224.028,25.225,7.005,3.705,0.018,148.7025701
13,0407_03.csv,0407_03_mesh_16.ply,187.918,252.427,22.712,6.222,3.93,0.028,149.0011601
19,0408_10.csv,0408_10_mesh_1.ply,23.476,92.644,16.239,3.436,2.18,0.004,170.386778
9,0405_08.csv,0405_08_mesh_27.ply,49.26,121.93,11.521,5.653,3.412,0.009,182.7040195
15,0407_12.csv,0407_12_mesh_1.ply,226.713,388.942,40.657,8.761,4.795,0.042,185.2562491
17,0407_26.csv,0407_26_mesh_8.ply,37.583,104.23,20.588,4.203,2.608,0.007,186.2544235
7,0404_03.csv,0404_03_mesh_11.ply,74.782,172.832,27.59,4.68,2.752,0.014,187.2108261
5,0403_12.csv,0403_12_mesh_4.ply,52.404,209.483,39.366,17.016,4.192,0.01,190.8251279
11,0406_04.csv,0406_04_mesh_11.ply,167.455,315.105,29.773,5.597,4.962,0.032,191.0961154
15,0407_14.csv,0407_14_mesh_20.ply,109.117,256.249,32.776,11.675,3.161,0.021,192.4539714
17,0407_27.csv,0407_27_mesh_9.ply,30.317,72.967,11.356,2.367,2.347,0.006,197.9087641
11,0406_04.csv,0406_04_mesh_5.ply,280.301,418.157,40.21,6.908,5.518,0.056,199.7852309
9,0405_08.csv,0405_08_mesh_22.ply,99.865,225.072,17.764,5.727,3.649,0.02,200.270365
11,0406_06.csv,0406_06_mesh_9.ply,87.065,198.498,32.045,8.573,3.593,0.018,206.7420892
15,0407_12.csv,0407_12_mesh_28.ply,115.733,213,23.782,4.082,3.214,0.024,207.3738692
3,0331_10.csv,0331_10_mesh_5.ply,47.927,117.199,17.787,3.025,3.023,0.01,208.6506562
19,0408_09.csv,0408_09_mesh_11.ply,66.999,181.255,15.687,14.344,3.505,0.014,208.9583427
3,0403_02.csv,0403_02_mesh_4.ply,160.016,343.572,44.373,6.833,4.162,0.034,212.4787521
15,0407_14.csv,0407_14_mesh_24.ply,79.701,163.099,19.12,7.349,3.213,0.017,213.2971983
3,0331_10.csv,0331_10_mesh_7.ply,41.967,109.677,18.126,4.183,2.337,0.009,214.454214
13,0407_01.csv,0407_01_mesh_1.ply,283.221,320.692,18.309,6.646,5.783,0.061,215.3795093
19,0408_09.csv,0408_09_mesh_14.ply,128.296,299.274,38.029,11.411,6.997,0.028,218.2453077
15,0407_12.csv,0407_12_mesh_21.ply,77.768,185.628,26.763,7.038,4.528,0.017,218.5989096
15,0407_15.csv,0407_15_mesh_8.ply,18.296,51.006,9.422,2.447,2.209,0.004,218.6270223
13,0407_03.csv,0407_03_mesh_13.ply,324.411,327.579,20.901,7.272,5.242,0.071,218.8581768
15,0407_12.csv,0407_12_mesh_29.ply,118.516,167.4,16.696,5.946,4.058,0.026,219.3796618
3,0403_02.csv,0403_02_mesh_5.ply,27.273,120.865,16.501,12.196,5.25,0.006,219.9978
13,0407_04.csv,0407_04_mesh_4.ply,76.916,169.687,24.362,4.438,3.112,0.017,221.0203339
9,0405_08.csv,0405_08_mesh_29.ply,121.868,334.279,14.461,9.208,4.644,0.027,221.5511865
9,0405_08.csv,0405_08_mesh_6.ply,279.368,559.451,37.661,9.424,4.619,0.062,221.929498
15,0407_14.csv,0407_14_mesh_16.ply,107.322,198.048,23.926,5.592,3.209,0.024,223.6260972
11,0406_05.csv,0406_05_mesh_10.ply,93.098,215.205,31.657,4.579,2.712,0.021,225.5687555
15,0407_11.csv,0407_11_mesh_14.ply,177.266,259.405,24.763,6.339,4.447,0.04,225.6495888
17,0407_27.csv,0407_27_mesh_6.ply,48.713,98.346,10.811,4.735,3.851,0.011,225.8124115
11,0406_04.csv,0406_04_mesh_16.ply,207.363,388.492,42.626,8.955,5.868,0.047,226.6556715
15,0407_13.csv,0407_13_mesh_15.ply,158.502,320.316,34.038,7.193,4.559,0.036,227.1264716
3,0331_10.csv,0331_10_mesh_14.ply,74.807,179.706,29.28,4.394,3.863,0.017,227.2514604
9,0405_08.csv,0405_08_mesh_28.ply,43.911,130.273,16.001,4.035,3.048,0.01,227.7333698
11,0406_06.csv,0406_06_mesh_3.ply,43.896,135.186,25.457,4.531,3.166,0.01,227.8111901
9,0405_08.csv,0405_08_mesh_15.ply,298.353,406.072,13.397,8.479,6.372,0.068,227.9179361
15,0407_12.csv,0407_12_mesh_9.ply,91.915,140.253,11.825,7.245,5.673,0.021,228.4719578
15,0407_12.csv,0407_12_mesh_19.ply,284.488,379.603,28.432,8.58,5.272,0.065,228.4806389
15,0407_14.csv,0407_14_mesh_6.ply,82.362,210.742,31.244,6.11,4.013,0.019,230.6889099
15,0407_12.csv,0407_12_mesh_13.ply,90.833,246.354,24.854,7.774,3.646,0.021,231.193509
11,0406_06.csv,0406_06_mesh_1.ply,64.759,190.883,32.52,9.404,3.721,0.015,231.6280363
