Experiment order,Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
14,0407_09.csv,0407_09_mesh_3.ply,2.74,53.587,10.073,3.587,1.972,0.001,364.9635036
20,0409_02.csv,0409_02_mesh_9.ply,16.778,56.393,12.033,3.117,1.593,0.002,119.2037192
18,0408_05.csv,0408_05_mesh_16.ply,61.727,39.721,15.951,3.501,1.575,0.003,48.60109838
20,0409_02.csv,0409_02_mesh_14.ply,12.29,46.09,11.039,3.854,1.736,0.003,244.100895
14,0407_09.csv,0407_09_mesh_2.ply,4.956,59.124,8.36,4.306,1.903,0.003,605.3268765
20,0409_02.csv,0409_02_mesh_3.ply,18.778,60.025,10.646,2.983,1.962,0.003,159.7614229
20,0409_02.csv,0409_02_mesh_1.ply,14.283,47.708,7.171,3.494,2.122,0.003,210.0399076
16,0407_21.csv,0407_21_mesh_16.ply,10.744,51.37,16.035,3.112,1.407,0.004,372.3008191
6,0403_13.csv,0403_13_mesh_7.ply,17.36,87.936,25.47,3.628,1.947,0.004,230.4147465
16,0407_21.csv,0407_21_mesh_13.ply,13.216,48.788,14.596,2.226,2.057,0.004,302.6634383
20,0409_02.csv,0409_02_mesh_18.ply,25.218,63.298,6.977,6.632,2.089,0.004,158.616861
20,0409_01.csv,0409_01_mesh_6.ply,7.881,77.034,10.182,4.39,2.243,0.004,507.5498033
20,0409_02.csv,0409_02_mesh_2.ply,10.572,62.25,6.511,6.16,2.821,0.004,378.3579266
20,0409_02.csv,0409_02_mesh_15.ply,11.152,85.705,11.488,6.923,1.362,0.005,448.3500717
16,0407_21.csv,0407_21_mesh_15.ply,12.859,57.543,17.45,2.559,1.581,0.005,388.8327242
18,0408_05.csv,0408_05_mesh_18.ply,61.068,52.628,11.729,9.625,1.84,0.005,81.87594157
20,0409_01.csv,0409_01_mesh_20.ply,29.461,116.217,23.962,4.112,2.862,0.005,169.7158956
20,0409_01.csv,0409_01_mesh_19.ply,24.933,119.876,18.714,6.666,3.236,0.005,200.5374403
20,0409_02.csv,0409_02_mesh_19.ply,24.72,64.105,7.909,4.82,3.42,0.005,202.2653722
20,0409_01.csv,0409_01_mesh_18.ply,13.09,85.333,13.034,7.047,3.996,0.005,381.9709702
20,0409_02.csv,0409_02_mesh_12.ply,20.104,103.979,8.043,8.277,4.49,0.005,248.706725
16,0407_21.csv,0407_21_mesh_3.ply,26.724,88.878,19.138,3.23,1.884,0.006,224.5172878
18,0408_05.csv,0408_05_mesh_4.ply,24.136,50.035,14.824,2.626,1.894,0.006,248.5913159
20,0409_02.csv,0409_02_mesh_5.ply,12.109,71.474,5.856,6.363,1.906,0.006,495.4992155
20,0409_02.csv,0409_02_mesh_6.ply,25.305,73.433,7.783,6.382,2.095,0.006,237.107291
20,0409_02.csv,0409_02_mesh_11.ply,18.645,49.752,8.301,5.628,2.149,0.006,321.8020917
18,0408_05.csv,0408_05_mesh_7.ply,15.903,38.108,8.404,4.144,2.174,0.006,377.2873043
20,0409_02.csv,0409_02_mesh_13.ply,19.613,163.423,14.959,6.828,2.186,0.006,305.9195432
18,0408_04.csv,0408_04_mesh_13.ply,34.174,107.532,12.845,7.949,2.532,0.006,175.5720723
16,0407_20.csv,0407_20_mesh_19.ply,33.274,78.887,12.834,2.497,2.537,0.006,180.3209713
20,0409_01.csv,0409_01_mesh_22.ply,28.191,52.322,5.954,3.448,3.342,0.006,212.8338832
16,0407_21.csv,0407_21_mesh_2.ply,7.249,104.069,9.634,6.131,3.395,0.006,827.7003725
20,0409_01.csv,0409_01_mesh_3.ply,12.479,100.992,10.17,5.832,4.11,0.006,480.807757
16,0407_21.csv,0407_21_mesh_17.ply,20.396,67.203,14.703,2.589,1.732,0.007,343.2045499
18,0408_05.csv,0408_05_mesh_15.ply,89.057,43.609,15.222,2.581,1.914,0.007,78.60134521
18,0408_05.csv,0408_05_mesh_12.ply,48.571,44.296,8.385,7.008,2.006,0.007,144.1189187
6,0403_16.csv,0403_16_mesh_12.ply,39.753,95.588,15.874,2.514,2.254,0.007,176.0873393
20,0409_01.csv,0409_01_mesh_12.ply,15.376,96.703,11.899,4.855,2.266,0.007,455.2549428
16,0407_21.csv,0407_21_mesh_9.ply,22.784,51.167,6.78,2.866,2.369,0.007,307.2331461
16,0407_20.csv,0407_20_mesh_21.ply,34.753,97.506,17.047,4.752,2.369,0.007,201.42146
20,0409_02.csv,0409_02_mesh_4.ply,23.71,64.216,7.525,3.182,2.42,0.007,295.2340784
16,0407_21.csv,0407_21_mesh_5.ply,29.764,63.068,8.068,4.259,2.542,0.007,235.1834431
20,0408_14.csv,0408_14_mesh_15.ply,29.408,83.171,13.303,3.248,2.639,0.007,238.0304679
18,0408_04.csv,0408_04_mesh_12.ply,17.87,145.721,14.278,4.669,2.98,0.007,391.7179631
16,0407_19.csv,0407_19_mesh_2.ply,67.639,149.687,13.096,7.911,3.102,0.007,103.4905897
16,0407_20.csv,0407_20_mesh_3.ply,30.227,79.78,10.034,5.043,3.132,0.007,231.5810368
18,0408_05.csv,0408_05_mesh_5.ply,230.84,77.823,8.256,7.362,7.182,0.007,30.32403396
18,0408_05.csv,0408_05_mesh_19.ply,121.755,45.337,9.465,7.642,1.761,0.008,65.7057205
16,0407_20.csv,0407_20_mesh_10.ply,6.61,147.316,11.866,7.39,2.071,0.008,1210.287443
16,0407_21.csv,0407_21_mesh_4.ply,34.871,80.937,12.327,3.209,2.26,0.008,229.4169941
16,0407_21.csv,0407_21_mesh_11.ply,17.708,89.102,8.706,7.67,2.386,0.008,451.7732098
6,0403_16.csv,0403_16_mesh_15.ply,31.222,100.571,20.694,4.937,2.558,0.008,256.2295817
20,0409_01.csv,0409_01_mesh_17.ply,24.946,89.803,14.575,7.253,2.976,0.008,320.6926962
16,0407_21.csv,0407_21_mesh_6.ply,6.638,107.367,8.517,8.495,3.086,0.008,1205.182284
20,0409_01.csv,0409_01_mesh_9.ply,26.994,79.962,7.514,6.329,3.529,0.008,296.3621546
20,0409_01.csv,0409_01_mesh_16.ply,34.279,86.452,14.743,4.022,3.72,0.008,233.3790367
18,0408_05.csv,0408_05_mesh_1.ply,29.295,53.483,12.2,6.985,1.832,0.009,307.2196621
18,0408_05.csv,0408_05_mesh_3.ply,22.066,49.243,18.189,2.968,1.922,0.009,407.8673072
16,0407_21.csv,0407_21_mesh_14.ply,20.28,71.673,15.838,4.418,1.942,0.009,443.7869822
20,0409_01.csv,0409_01_mesh_15.ply,37.734,127.516,16.821,5.819,2.652,0.009,238.5116871
18,0408_05.csv,0408_05_mesh_11.ply,16.763,107.436,33.277,8.454,2.782,0.009,536.8967369
18,0408_05.csv,0408_05_mesh_9.ply,18.274,51.244,7.932,8.155,2.998,0.009,492.5030097
18,0408_05.csv,0408_05_mesh_13.ply,24.42,104.61,32.657,7.482,3.181,0.009,368.5503686
18,0408_04.csv,0408_04_mesh_20.ply,33.04,138.256,10.678,8.48,4.39,0.009,272.3970944
20,0409_01.csv,0409_01_mesh_8.ply,25.656,117.86,7.106,7.133,5.64,0.009,350.7951356
20,0409_01.csv,0409_01_mesh_13.ply,31.933,83.427,7.498,6.595,2.318,0.01,313.1556697
16,0407_21.csv,0407_21_mesh_10.ply,33.073,69.279,8.627,3.49,2.638,0.01,302.3614429
10,0406_01.csv,0406_01_mesh_7.ply,40.566,133.042,22.976,8.393,2.947,0.01,246.5118572
