Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0522_07.csv,0522_07_mesh_10.ply,6.674,82.02,11.008,6.304,1.354,0.004,599.3407252
0522_04.csv,0522_04_mesh_4.ply,5.082,50.352,6.069,5.473,1.365,0.002,393.5458481
0524_07.csv,0524_07_mesh_7.ply,6.359,136.417,12.708,6.263,1.384,0.006,943.5445825
0522_07.csv,0522_07_mesh_5.ply,3.575,71.85,8.718,7.382,1.747,0.001,279.7202797
0524_06.csv,0524_06_mesh_12.ply,11.722,183.83,18.731,7.87,2.022,0.011,938.4064153
0521_02.csv,0521_02_mesh_5.ply,2.546,87.006,12.533,4.882,2.044,0.003,1178.318932
0522_09.csv,0522_09_mesh_11.ply,11.974,153.35,15.119,6.199,2.403,0.007,584.5999666
0522_04.csv,0522_04_mesh_1.ply,0.337,107.276,9.47,6.265,2.492,0.002,5934.718101
0524_09.csv,0524_09_mesh_12.ply,99.122,233.041,24.164,5.654,2.639,0.045,453.9859971
0524_02.csv,0524_02_mesh_5.ply,28.353,106.111,11.688,6.574,2.657,0.011,387.9660001
0524_07.csv,0524_07_mesh_2.ply,8.361,145.204,12.513,7.548,2.847,0.004,478.4116732
0524_14.csv,0524_14_mesh_1.ply,89.106,187.656,15.175,5.871,2.976,0.029,325.455076
0524_10.csv,0524_10_mesh_9.ply,74.402,133.36,15.856,4.139,3.066,0.016,215.0479826
0524_09.csv,0524_09_mesh_11.ply,9.11,125.383,12.674,6.323,3.066,0.008,878.1558727
0522_07.csv,0522_07_mesh_7.ply,55.251,107.352,13.164,4.746,3.094,0.012,217.1906391
0524_12.csv,0524_12_mesh_13.ply,109.866,177.96,21.381,3.931,3.142,0.025,227.5499245
0524_02.csv,0524_02_mesh_1.ply,75.985,159.187,11.264,7.309,3.151,0.023,302.6913207
0522_03.csv,0522_03_mesh_3.ply,140.391,292.598,39.327,8.931,3.169,0.025,178.0740931
0522_09.csv,0522_09_mesh_10.ply,83.1,223.463,29.35,6.522,3.226,0.009,108.3032491
0522_03.csv,0522_03_mesh_15.ply,44.215,130.463,12.689,5.455,3.348,0.013,294.0178672
0524_04.csv,0524_04_mesh_6.ply,113.207,284.955,46.341,4.922,3.363,0.038,335.6682891
0522_07.csv,0522_07_mesh_15.ply,127.05,173.865,14.359,6.555,3.472,0.036,283.3530106
0524_09.csv,0524_09_mesh_9.ply,141.332,231.56,26.522,3.53,3.477,0.035,247.6438457
0522_04.csv,0522_04_mesh_3.ply,38.954,130.75,12.799,5.343,3.539,0.03,770.1391385
0522_03.csv,0522_03_mesh_14.ply,9.006,202.548,11.573,9.851,3.539,0.008,888.2966911
0524_05.csv,0524_05_mesh_4.ply,13.162,81.964,8.951,4.26,3.54,0.021,1595.502203
0522_03.csv,0522_03_mesh_7.ply,156.528,348.361,49.782,10.189,3.596,0.023,146.9385669
0522_07.csv,0522_07_mesh_14.ply,72.965,102.026,7.942,5.477,3.64,0.017,232.9884191
0522_04.csv,0522_04_mesh_2.ply,11.845,73.733,11.614,4.378,3.658,0.021,1772.899958
0524_12.csv,0524_12_mesh_15.ply,78.631,159.61,13.821,5.899,3.678,0.02,254.352609
0522_09.csv,0522_09_mesh_19.ply,40.291,97.024,11.551,5.674,3.685,0.009,223.3749473
0522_07.csv,0522_07_mesh_6.ply,38.834,74.077,7.13,4.272,3.706,0.01,257.5063089
0524_07.csv,0524_07_mesh_9.ply,130.018,317.85,45.681,11.309,3.713,0.041,315.3409528
0524_10.csv,0524_10_mesh_4.ply,37.319,78.275,6.525,5.45,3.723,0.019,509.1240387
0522_03.csv,0522_03_mesh_12.ply,131.704,201.456,13.334,5.937,3.723,0.045,341.6752718
0521_02.csv,0521_02_mesh_2.ply,57.362,142.812,17.871,5.539,3.767,0.019,331.229734
0524_05.csv,0524_05_mesh_5.ply,3.444,76.405,6.899,4.716,3.772,0.016,4645.760743
0522_03.csv,0522_03_mesh_11.ply,77.117,119.619,10.453,4.598,3.787,0.014,181.5423318
0522_09.csv,0522_09_mesh_25.ply,57.485,215.714,37.005,12.66,3.798,0.011,191.3542663
0524_04.csv,0524_04_mesh_3.ply,98.529,321.427,32.157,16.11,3.962,0.043,436.4197343
0522_09.csv,0522_09_mesh_15.ply,46.76,104.164,8.756,6.124,4.015,0.012,256.6295979
0524_06.csv,0524_06_mesh_1.ply,117.016,235.4,19.98,6.549,4.077,0.044,376.0169549
0522_09.csv,0522_09_mesh_14.ply,126.655,175.519,13.242,5.862,4.154,0.023,181.5956733
0522_02.csv,0522_02_mesh_4.ply,80.176,125.37,9.644,5.637,4.157,0.021,261.9237677
0522_02.csv,0522_02_mesh_12.ply,56.034,168.785,18.445,6.663,4.236,0.03,535.389228
0522_02.csv,0522_02_mesh_9.ply,138.53,183.45,12.789,5.332,4.244,0.025,180.466325
0522_07.csv,0522_07_mesh_12.ply,42.744,78.749,5.045,6.35,4.261,0.009,210.5558675
0524_05.csv,0524_05_mesh_3.ply,29.741,98.057,10.568,4.398,4.274,0.018,605.2251101
0524_10.csv,0524_10_mesh_5.ply,116.793,339.053,61.574,5.139,4.275,0.025,214.0539245
0522_03.csv,0522_03_mesh_16.ply,151.597,176.415,12.532,4.827,4.296,0.033,217.682408
0522_02.csv,0522_02_mesh_3.ply,111.378,138.778,9.033,5.462,4.331,0.022,197.5255436
0524_08.csv,0524_08_mesh_13.ply,23.37,225.853,17.796,6.129,4.363,0.013,556.2687206
0524_03.csv,0524_03_mesh_1.ply,133.789,190.103,16.079,6.207,4.4,0.072,538.1608353
0522_09.csv,0522_09_mesh_2.ply,192.239,263.239,18.492,6.332,4.414,0.029,150.853885
0522_07.csv,0522_07_mesh_16.ply,55.664,115.037,8.286,7.09,4.434,0.021,377.2635815
0524_14.csv,0524_14_mesh_2.ply,89.42,143.647,12.348,6.27,4.438,0.016,178.9308879
0524_04.csv,0524_04_mesh_7.ply,5.064,121.02,14.064,7.409,4.465,0.01,1974.723539
0522_09.csv,0522_09_mesh_26.ply,67.123,113.791,13.026,5.158,4.472,0.022,327.7565067
0524_10.csv,0524_10_mesh_2.ply,17.508,160.396,10.615,7.17,4.511,0.012,685.4009596
0522_09.csv,0522_09_mesh_23.ply,148.117,273.363,19.055,7.872,4.535,0.032,216.0454236
0522_09.csv,0522_09_mesh_7.ply,101.592,167.533,14.978,5.55,4.547,0.042,413.4183794
0522_09.csv,0522_09_mesh_1.ply,248.84,343.691,28.014,8.37,4.577,0.046,184.8577399
0522_02.csv,0522_02_mesh_14.ply,225.95,285.854,18.879,6.084,4.601,0.039,172.6045585
0522_09.csv,0522_09_mesh_17.ply,83.819,128.012,8.037,6.127,4.616,0.014,167.0265692
0522_07.csv,0522_07_mesh_11.ply,17.492,72.175,5.906,5.538,4.626,0.015,857.5348731
0524_13.csv,0524_13_mesh_6.ply,144.616,176.569,13.699,6.516,4.63,0.042,290.4242961
0524_02.csv,0524_02_mesh_6.ply,34.288,109.342,11.02,4.427,4.635,0.017,495.80028
0522_07.csv,0522_07_mesh_8.ply,65.977,252.425,29.039,7.121,4.667,0.021,318.2927384
0522_09.csv,0522_09_mesh_28.ply,85.69,139.568,10.378,6.155,4.671,0.025,291.749329
0522_02.csv,0522_02_mesh_8.ply,211.115,293.309,20.175,7.539,4.68,0.044,208.4172134
0524_12.csv,0524_12_mesh_9.ply,36.731,322.437,16.201,8.505,4.682,0.012,326.6995181
0522_07.csv,0522_07_mesh_1.ply,132.526,193.862,15.329,7.143,4.683,0.034,256.553431
0522_07.csv,0522_07_mesh_4.ply,88.486,166.92,14.596,5.871,4.729,0.024,271.229347
0524_13.csv,0524_13_mesh_10.ply,256.174,477.548,63.47,12.148,4.731,0.079,308.3841452
0524_04.csv,0524_04_mesh_1.ply,344.833,458.561,38.991,10.109,4.757,0.072,208.7967219
0522_09.csv,0522_09_mesh_4.ply,103.357,208.185,19.134,5.693,4.786,0.024,232.2048821
0524_08.csv,0524_08_mesh_12.ply,245.885,319.673,19.178,6.68,4.793,0.056,227.7487443
0522_09.csv,0522_09_mesh_8.ply,136.184,166.891,11.847,6.165,4.813,0.026,190.9181695
0524_13.csv,0524_13_mesh_11.ply,186.794,199.062,13.479,6.762,4.82,0.047,251.6140775
0522_07.csv,0522_07_mesh_13.ply,12.376,160.682,9.32,8.498,4.839,0.007,565.6108597
0524_05.csv,0524_05_mesh_1.ply,42.565,148.696,12.132,4.181,4.865,0.033,775.2848585
0522_01.csv,0522_01_mesh_8.ply,398.316,360.445,15.302,9.347,4.867,0.116,291.2260617
