Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0422_06.csv,0422_06_mesh_10.ply,21.354,65.971,7.951,4.311,2.598,0.001
0422_06.csv,0422_06_mesh_3.ply,4.411,45.229,7.611,1.468,3.022,0.001
0422_06.csv,0422_06_mesh_4.ply,1.941,63.771,10.706,1.068,3.21,0.001
0423_01.csv,0423_01_mesh_13.ply,7.661,47.07,15.231,4.582,1.488,0.001
0423_01.csv,0423_01_mesh_15.ply,10.223,37.521,8.119,2.641,1.568,0.001
0423_01.csv,0423_01_mesh_16.ply,17.077,50.216,8.977,2.953,1.847,0.001
0423_01.csv,0423_01_mesh_19.ply,15.313,47.179,9.529,2.548,1.685,0.001
0423_01.csv,0423_01_mesh_2.ply,22.307,86.257,17.555,7.614,2.06,0.001
0423_01.csv,0423_01_mesh_8.ply,13.506,47.122,6.757,5.061,1.472,0.001
0423_01.csv,0423_01_mesh_3.ply,11.593,45.149,6.756,4.064,2.065,0.001
0423_01.csv,0423_01_mesh_7.ply,4.918,42.532,7.772,3.876,1.144,0.001
0423_01.csv,0423_01_mesh_9.ply,13.878,35.333,4.62,3.268,2.89,0.001
0423_19.csv,0423_19_mesh_3.ply,9.378,42.187,5.423,3.946,2.434,0.001
0423_19.csv,0423_19_mesh_6.ply,8.039,44.428,11.119,2.526,1.123,0.001
0423_22.csv,0423_22_mesh_3.ply,15.553,62.543,15.491,2.516,1.936,0.001
0424_10.csv,0424_10_mesh_6.ply,26.966,80.619,16.774,3.195,2.563,0.001
0424_10.csv,0424_10_mesh_8.ply,19.674,59.241,11.687,3.378,2.523,0.001
0422_05.csv,0422_05_mesh_16.ply,11.992,56.916,14.909,3.879,1.473,0.002
0422_06.csv,0422_06_mesh_6.ply,30.162,108.053,15.134,3.549,2.352,0.002
0422_06.csv,0422_06_mesh_9.ply,3.291,54.438,4.906,4.728,2.778,0.002
0423_08.csv,0423_08_mesh_11.ply,16.49,100.527,12.719,5.003,2.248,0.002
0423_18.csv,0423_18_mesh_2.ply,6.183,85.97,15.228,3.602,1.367,0.002
0423_18.csv,0423_18_mesh_32.ply,13.026,86.813,9.367,5.03,1.988,0.002
0423_19.csv,0423_19_mesh_1.ply,6.974,83.933,8.69,8.457,1.344,0.002
0423_19.csv,0423_19_mesh_4.ply,17.256,57.091,10.282,2.993,2.406,0.002
0423_19.csv,0423_19_mesh_5.ply,34.197,147.431,11.742,9.439,2.611,0.002
0424_10.csv,0424_10_mesh_14.ply,10.038,78.119,9.624,6.082,1.918,0.002
0424_10.csv,0424_10_mesh_19.ply,15.61,84.152,9.21,6.447,1.338,0.002
