Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0506_02.csv,0506_02_mesh_16.ply,0.011,94.297,8.323,6.144,1.748,0.005,454545.4545
0507_10.csv,0507_10_mesh_27.ply,0.685,171.421,16.22,7.709,1.483,0.011,16058.39416
0506_12.csv,0506_12_mesh_17.ply,1.254,112.847,10.513,8.003,1.329,0.009,7177.033493
0507_10.csv,0507_10_mesh_28.ply,1.657,146.846,12.161,7.579,1.99,0.009,5431.502716
0506_06.csv,0506_06_mesh_5.ply,13.945,74.5,9.947,5.15,1.337,0.06,4302.617426
0507_08.csv,0507_08_mesh_30.ply,0.944,120.945,10.099,6.829,1.831,0.004,4237.288136
0506_05.csv,0506_05_mesh_5.ply,5.575,134.823,9.914,7.378,3.999,0.018,3228.699552
0507_09.csv,0507_09_mesh_12.ply,16.476,314.886,20.627,9.923,4.407,0.052,3156.105851
0508_01.csv,0508_01_mesh_23.ply,31.607,665.418,27.663,12.577,7.061,0.087,2752.554814
0507_02.csv,0507_02_mesh_14.ply,29.281,491.871,19.579,13.285,7.893,0.07,2390.628735
0506_12.csv,0506_12_mesh_23.ply,4.838,113.05,10.141,8.455,1.516,0.011,2273.666804
0506_11.csv,0506_11_mesh_5.ply,24.021,186.049,16.047,6.954,3.311,0.049,2039.88177
0506_02.csv,0506_02_mesh_5.ply,4.002,138.975,17.412,5.914,1.686,0.008,1999.0005
0506_08.csv,0506_08_mesh_2.ply,26.637,267.316,42.807,7.367,5.672,0.047,1764.462965
0508_01.csv,0508_01_mesh_6.ply,11.687,232.595,10.992,10.196,5.143,0.02,1711.303157
0507_07.csv,0507_07_mesh_13.ply,21.88,250.572,13.008,11.625,7.203,0.032,1462.522852
0507_02.csv,0507_02_mesh_10.ply,15.295,271.302,16.783,8.401,4.928,0.022,1438.378555
0506_04.csv,0506_04_mesh_6.ply,33.736,405.22,13.805,12.712,7.732,0.047,1393.1705
0506_06.csv,0506_06_mesh_3.ply,5.271,42.07,9.369,2.938,1.704,0.007,1328.021248
0506_12.csv,0506_12_mesh_1.ply,5.516,113.547,13.31,5.359,1.336,0.007,1269.035533
0506_08.csv,0506_08_mesh_17.ply,36.993,127.088,11.585,6.347,5.72,0.046,1243.478496
0506_02.csv,0506_02_mesh_8.ply,3.27,65.199,7.083,5.337,1.17,0.004,1223.24159
0506_12.csv,0506_12_mesh_25.ply,8.619,102.346,11.44,6.446,1.425,0.01,1160.227405
0506_12.csv,0506_12_mesh_11.ply,19.105,90.165,8.121,7.378,4.711,0.02,1046.846375
0506_12.csv,0506_12_mesh_20.ply,9.745,87.842,10.46,5.247,1.79,0.01,1026.167265
0507_08.csv,0507_08_mesh_11.ply,18.208,162.812,9.026,9.163,4.034,0.018,988.5764499
0508_02.csv,0508_02_mesh_1.ply,5.072,52.137,6.883,5.305,1.749,0.005,985.8044164
0507_05.csv,0507_05_mesh_8.ply,5.166,46.184,10.482,2.865,1.866,0.005,967.8668215
0507_03.csv,0507_03_mesh_8.ply,18.932,182.565,11.298,9.081,3.229,0.018,950.7711811
0506_11.csv,0506_11_mesh_9.ply,30.062,203.474,12.25,9.295,3.979,0.028,931.4084226
0507_03.csv,0507_03_mesh_12.ply,13.233,108.715,8.41,9.27,3.414,0.012,906.8238495
0507_03.csv,0507_03_mesh_10.ply,46.605,270.674,19.669,8.404,3.565,0.041,879.7339341
0506_11.csv,0506_11_mesh_3.ply,61.621,344.7,15.888,12.219,6.598,0.054,876.3246296
0507_03.csv,0507_03_mesh_3.ply,18.263,161.572,14.227,6.537,2.043,0.016,876.0882659
0506_12.csv,0506_12_mesh_21.ply,11.423,89.128,6.959,9.153,3.17,0.01,875.4267706
0507_02.csv,0507_02_mesh_1.ply,44.955,434.397,25.672,12.976,5.243,0.038,845.2897342
0507_08.csv,0507_08_mesh_19.ply,11.099,75.732,5.611,7.27,3.987,0.009,810.8838634
